Name,Latitude,Longitude,Votes,Rating,Type,City
North Italia,29.7485868638914,-95.4620253208921,1520.0,4.0,italian,houston
Postino Montrose,29.74651,-95.39033,66.0,4.5,italian,houston
Grotto Downtown,29.7539178,-95.3571966,324.0,4.0,italian,houston
Coltivare,29.7817,-95.39371,831.0,4.0,italian,houston
Crisp,29.8062839508057,-95.4220886230469,856.0,4.0,italian,houston
Bollo Woodfired Pizza,29.7389786,-95.4134581,580.0,4.5,italian,houston
Osso & Kristalla,29.7574509,-95.3579026,243.0,4.0,italian,houston
Potente,29.7572378866031,-95.3574474900742,206.0,4.5,italian,houston
Riva's Italian Restaurant,29.74605,-95.39248,517.0,4.0,italian,houston
Roma,29.7149,-95.41475,74.0,4.0,italian,houston
Perbacco,29.760168,-95.365059,167.0,4.0,italian,houston
Giacomo's Cibo e Vino,29.742032,-95.423718,512.0,4.0,italian,houston
Bistecca,29.744848,-95.383987,190.0,4.5,italian,houston
D'Amico's Italian Market Cafe,29.71598,-95.4153504,368.0,4.0,italian,houston
Da Marco,29.74313,-95.397814,324.0,4.0,italian,houston
Dolce Vita,29.744775,-95.38742,711.0,4.0,italian,houston
Mia Bella Trattoria,29.7534684960069,-95.3641167312134,281.0,4.0,italian,houston
Rocco's,29.79333,-95.35928,58.0,4.5,italian,houston
Patrenella's,29.76912,-95.4021,348.0,4.0,italian,houston
Warehouse 72,29.785959,-95.465455,88.0,4.0,italian,houston
BOH Pasta & Pizza,29.7617656683504,-95.3621810104161,37.0,4.5,italian,houston
Sorrento Ristorante Italiano,29.7444128,-95.3867141,306.0,4.0,italian,houston
Postino Heights,29.78306,-95.3985299,402.0,4.0,italian,houston
La Griglia,29.75356,-95.40889,352.0,4.0,italian,houston
Vinoteca Poscol,29.74476,-95.3893499,121.0,4.0,italian,houston
Piola,29.74287233551,-95.3798845184326,587.0,4.0,italian,houston
Rosalie Italian Soul,29.7579561439064,-95.3711798787117,19.0,4.0,italian,houston
Mandola's Deli,29.73764,-95.33956,271.0,4.5,italian,houston
Antica Osteria,29.725282,-95.413276,315.0,4.0,italian,houston
Maggiano's Little Italy,29.74507,-95.460509,635.0,3.5,italian,houston
Damian's Cucina Italiana,29.74437,-95.3797,214.0,4.0,italian,houston
Paulie's,29.7428749,-95.4064275,783.0,4.0,italian,houston
Your Pie,29.7522964518359,-95.3684243165043,254.0,4.5,italian,houston
Cane Rosso,29.8025909301009,-95.4104705527425,385.0,3.5,italian,houston
Carrabba's - The Original on Kirby,29.7364881579311,-95.4183509045328,452.0,4.0,italian,houston
Mia Bella Trattoria,29.7323697055943,-95.4381511442779,364.0,4.5,italian,houston
Bellissimo Ristorante,29.804596,-95.381574,218.0,4.0,italian,houston
Cavatore Italian Restaurant,29.8052,-95.42883,343.0,3.5,italian,houston
Coppa Osteria,29.7189381,-95.4149874,467.0,3.5,italian,houston
Mina Ristorante,29.7381940494014,-95.4363139242039,19.0,4.0,italian,houston
Spaghetti Western Italian Cafe,29.775061,-95.409362,276.0,4.0,italian,houston
Divino,29.738854,-95.405942,85.0,4.0,italian,houston
Piada Italian Street Food,29.76099,-95.42052,367.0,4.0,italian,houston
Buca di Beppo Italian Restaurant,29.7268984,-95.428406,482.0,3.0,italian,houston
Fresco Cafe Italiano,29.7287262957213,-95.4316117488783,176.0,4.5,italian,houston
Grotto Ristorante,29.740495,-95.456781,315.0,3.5,italian,houston
Pizzeria Solario,29.7347932634449,-95.4411491633683,296.0,4.0,italian,houston
Piatto Ristorante,29.737821,-95.459841,122.0,4.0,italian,houston
Nino's,29.757238682246,-95.3954217327958,128.0,4.0,italian,houston
Romano's Pizza,29.7544062271704,-95.4004679195084,421.0,4.0,italian,houston
Marchese's Take-Home Kitchen,29.8409739831322,-95.4192708805203,25.0,5.0,italian,houston
Brooklyn Meatball,29.757522,-95.365165,153.0,4.5,italian,houston
Star Pizza,29.7700571,-95.3961846,439.0,3.5,italian,houston
Vincent's Restaurant,29.7572382989492,-95.395042765765,174.0,3.5,italian,houston
Nundini Chef's Table,29.78044,-95.40868,274.0,3.5,italian,houston
Corelli's Italian Cafe,29.7380757,-95.4752726,118.0,4.0,italian,houston
Little Napoli Italian Cuisine,29.7627097,-95.3673287,317.0,2.5,italian,houston
Birraporetti's,29.76224,-95.36491,384.0,3.0,italian,houston
Quattro Restaurant,29.75401,-95.36277,196.0,4.0,italian,houston
Spaghetti Western,29.802631210278,-95.4327419183379,92.0,3.5,italian,houston
Prima Pasta,29.7054576873779,-95.4179534912109,194.0,3.5,italian,houston
Olive Garden Italian Restaurant,29.729419,-95.425071,163.0,3.0,italian,houston
Mona Fresh Italian Food -Downtown,29.7594315,-95.3648084,10.0,3.5,italian,houston
Prego,29.7160143601348,-95.4175163136998,267.0,3.5,italian,houston
Enoteca Rossa,29.7144304,-95.4548667,178.0,4.0,italian,houston
Brooklyn Meatball,29.7549739,-95.3626406,32.0,4.5,italian,houston
Candelari's Pizzeria,29.705848,-95.419186,222.0,3.5,italian,houston
La Fresca Pizza,29.7076867,-95.4180686,153.0,4.0,italian,houston
George's Pizza & Italian Cuisine,29.684696826131,-95.2940165599106,39.0,4.0,italian,houston
Napoli Wine Cafe,29.770219,-95.407797,9.0,3.5,italian,houston
Fellini Caffè,29.718743376273,-95.4166178981476,403.0,4.0,italian,houston
Russo's New York Pizzeria,29.75198,-95.37711,236.0,3.0,italian,houston
Collina's Italian Cafe,29.7323433828409,-95.4397344589233,229.0,3.5,italian,houston
Ristorante Cavour,29.757721,-95.45835,47.0,3.5,italian,houston
Nick's Grill,29.8092959237297,-95.4585531318746,98.0,3.5,italian,houston
Collina's Italian Cafe,29.8026951,-95.4061526,218.0,3.0,italian,houston
Russo's New York Pizzeria,29.7857075114367,-95.4656290997528,122.0,3.5,italian,houston
Auntie Pasto's,29.7054076,-95.4749189,214.0,4.0,italian,houston
Pizzini's Italian Restaurant,29.772102355957,-95.2473602294922,29.0,4.0,italian,houston
Pronto Cucinino,29.75476,-95.39173,173.0,3.0,italian,houston
Grappino Di Nino,29.757238682246,-95.3954217327958,55.0,3.5,italian,houston
Russo's New York Pizzeria,29.6890166,-95.4130874,142.0,3.5,italian,houston
Gugliani's,29.6896173133713,-95.4652434911208,129.0,3.5,italian,houston
Olive Garden Italian Restaurant,29.691725,-95.414985,167.0,2.5,italian,houston
Olive Garden Italian Restaurant,29.81633,-95.46388,111.0,3.0,italian,houston
Mamma Altman's Kangaroo Pizza,29.85916,-95.40984,23.0,4.5,italian,houston
Original Napoli By Papa Zack,29.6894215,-95.4753952,88.0,4.0,italian,houston
Bambolino's Italian Kitchen,29.74255,-95.3987,110.0,3.5,italian,houston
Sarpinos Pizzeria,29.697266,-95.4166058,144.0,3.5,italian,houston
Pronto Cucinino,29.7058851,-95.4270885,100.0,3.0,italian,houston
Russo's New York Pizzeria,29.6893849,-95.4641114,135.0,3.5,italian,houston
Russo's New York Pizzeria,29.756283,-95.370379,77.0,2.5,italian,houston
Fuzzy's Pizza & Cafe,29.7814621,-95.4756749,178.0,3.0,italian,houston
Picatta,29.85996,-95.47387,29.0,3.5,italian,houston
Texas Pizza,29.734,-95.40683,131.0,3.0,italian,houston
Luigi's Pizzeria,29.7158443182707,-95.4516863822937,197.0,4.0,italian,houston
Luigi's Italian Food,29.748648,-95.378565,29.0,3.5,italian,houston
Pizza Love,29.7420116336118,-95.3906176399355,100.0,3.0,italian,houston
Fuzzy's Pizza & Sport Cafe,29.70426,-95.47318,24.0,4.0,italian,houston
George's Italian Pizzaria,29.684780713517,-95.2940326531647,29.0,3.5,italian,houston
Edo's Cafe On the Park,29.7477684020996,-95.4517822265625,9.0,3.0,italian,houston
Food Music Life,29.73447,-95.42394,10.0,3.5,italian,houston
La Dolce Vita Cafe,29.75659,-95.36845,21.0,3.0,italian,houston
Pizza Hut,29.8504092509659,-95.2650140225887,61.0,1.5,italian,houston
Sbarro,29.738978,-95.46251,15.0,2.5,italian,houston
Pizza Hut,29.7518351489449,-95.355478901497,41.0,1.5,italian,houston
Pizza Hut,29.7065440570791,-95.4053185216617,38.0,2.0,italian,houston
Ponte Vecchio,29.7580735,-95.370181,1.0,2.0,italian,houston
Pizza Hut,29.7773536027377,-95.3969290852547,50.0,1.5,italian,houston
Pizza Hut,29.8419816756142,-95.4727149009705,20.0,2.5,italian,houston
Pizza Hut,29.7322150173442,-95.4419194946671,39.0,2.0,italian,houston
Cicis,29.6963028907243,-95.2972242459873,12.0,2.5,italian,houston
Corleone,29.76921,-95.40224,1.0,3.0,italian,houston
Pizza Hut,29.8275256593,-95.4313676222228,25.0,2.0,italian,houston
Pizza Hut,29.7316609540065,-95.308754,20.0,2.0,italian,houston
Pizza Hut,29.74377,-95.39454,35.0,1.5,italian,houston
Pizza Hut,29.6727787,-95.275912,19.0,1.5,italian,houston
Kathrina's Cafe Roma III,29.705711,-95.403541,2.0,2.0,italian,houston
Pizza Hut,29.6918483057553,-95.4121851515379,25.0,1.5,italian,houston
Pizza Hut,29.719173,-95.337754,30.0,1.5,italian,houston
Pizza Hut,29.828912,-95.3797083,13.0,1.5,italian,houston
Pizza Hut,29.7243964142828,-95.4768066108227,2.0,1.0,italian,houston
Pizza Hut,29.70367333,-95.29620833,4.0,2.5,italian,houston
Pizza Hut,29.8504092509659,-95.2650140225887,6.0,2.5,italian,houston
Pizza Hut,42.0235722729997,-95.3680870682546,23.0,1.5,italian,houston
Pizza Hut,27.5454976333406,-99.4821610003874,2.0,2.5,italian,houston
