Name,Latitude,Longitude,Votes,Rating
Rasa,40.7327654,-73.9975674,683,4.0
Savida,40.71645,-74.00783,65,4.5
China Blue,40.724038,-74.009958,674,4.0
La Sirène-Soho,40.7243642217227,-74.005708694458,1584,4.5
Fong On,40.71417,-73.9937,46,4.5
Juanchi's Burger,40.713003,-73.958863,384,4.5
Lilia,40.71757,-73.95236,753,4.0
Khe-Yo,40.716906,-74.008587,709,4.0
Peaches HotHouse,40.6833699737169,-73.9437798410654,1136,4.0
Boqueria Soho,40.724912,-74.0021299,972,4.0
Evelina,40.689722,-73.971003,150,4.5
Red Hook Lobster Pound,40.6797687107191,-74.0103686973453,1053,4.0
Buddakan,40.7422762672197,-74.0048000961542,3891,4.0
OBAO,40.7606544,-73.991332,2435,4.0
Clay Pot - East Village,40.7279880270274,-73.9865907985248,298,4.0
Excuse My French,40.71844,-73.98981,266,4.5
Izakaya Juraku,40.7196796287355,-73.9887088537216,80,4.5
Maharlika,40.72695,-73.98611,1489,4.0
Malatesta Trattoria,40.73285,-74.00847,1227,4.0
Up Thai,40.7698275926665,-73.9576330868512,2172,4.5
Set L.E.S,40.7198495417833,-73.9885318279266,426,4.0
Sauce & Barrel,40.707999,-74.0142651,374,4.0
GunBae,40.714683,-74.010223,256,4.0
Pepe Giallo,40.7468940064083,-74.0049896784992,623,4.0
Claw Daddy's,40.722071,-73.98847,1597,4.0
Pollo D' Oro,40.6949059702115,-73.9833294451642,243,4.0
Kaikagetsu NYC,40.72104,-73.98848,50,4.5
Lupa,40.7276,-74.000045,1501,4.0
Takeshi Sushi,40.72294,-74.00464,67,4.5
Pies-n-Thighs,40.711191,-73.961424,2828,4.0
Beauty & Essex,40.72037,-73.98677,3399,4.0
Cock & Bull,40.7560908823673,-73.9804858350908,526,4.0
Miss Ada,40.689436,-73.9723809,196,4.5
The Horny Ram,40.75528,-73.96857,433,4.0
shabushabu Mayumon,40.71434,-73.99205,8,5.0
Time Out Market New York,40.7037211399782,-73.9918105285751,188,3.5
Cathédrale Restaurant,40.7316,-73.98951,48,4.0
Mable's Smokehouse & Banquet Hall,40.7211890204726,-73.9570004492998,820,4.0
Roberta's,40.705043534338,-73.93357123374,2760,4.0
Emporio,40.7226371,-73.9951331,771,4.0
Uncle Boons,40.7211328622237,-73.9943286309159,931,4.0
Misi,40.71341,-73.96662,239,4.0
Itaewon,40.7475125111924,-73.9867554408843,90,4.5
Nino's 46,40.7569159,-73.980516,1153,4.0
Ugly Baby,40.67795,-73.9961,307,4.5
Takashi,40.7313524,-74.0065048,974,4.0
Scarpetta,40.744509,-73.9856,1871,4.0
Local 92,40.726957,-73.9885354,398,4.0
Gato,40.7255312,-73.9951947,1127,4.0
The Saint Austere,40.7114604,-73.9476182,380,4.5
Shanghai 21,40.7144199,-73.99889,1607,4.0
Ise Restaurant,40.7291024,-73.9900618,425,4.5
Boilery - East Village,40.73112,-73.98898,41,4.5
El Mate,40.6749782203506,-73.9995224876405,288,4.5
Hometown Bar-B-Que,40.6748965703426,-74.0160489746129,1303,4.0
Pio Pio 8,40.760506289326,-73.994564488901,2304,4.0
Hakata Tonton,40.733234,-74.003326,990,4.0
Acqua Restaurant NYC,40.7082567,-74.001797,367,4.0
Da Claudio,40.71087,-74.00753,447,4.5
Forno Rosso,40.69446,-73.98316,660,4.0
The Seafire Grill,40.7547012104496,-73.972255513072,1227,4.5
Lombardi's Pizza,40.7215934960083,-73.9955956044561,6007,4.0
Tabaré,40.713046,-73.958968,632,4.0
Forma Pasta Factory,40.72371,-73.95157,115,5.0
AlMar,40.702662,-73.989177,425,4.0
Very Fresh Noodles,40.7423387008486,-74.00625,919,4.5
Babbo,40.732283,-73.999284,2387,4.0
Casa Enrique,40.743404338358,-73.954350367693,1144,4.0
Yara,40.75646,-73.9662,80,4.5
Baron's,40.6908116,-73.953915,273,4.0
Café China,40.7499225208569,-73.9819464127197,1577,4.0
Tonii’s Fresh Rice Noodle,40.71572,-73.99899,23,4.0
Daniel,40.7667736797858,-73.967607,1564,4.5
M Noodle Shop,40.720348,-73.988659,19,4.5
Tanner Smiths,40.76442,-73.98169,1662,4.5
Birds of a Feather,40.71442,-73.960441,300,4.0
Momofuku Ssam Bar,40.73169,-73.985846,2419,4.0
Marea,40.7674213694566,-73.9810554368179,1989,4.0
Rosie's,40.72492,-73.99079,683,4.0
Nostro East Village,40.726591,-73.9895454,19,4.5
Sugarcane Raw Bar Grill,40.703799,-73.992343,549,4.0
Hupo琥珀,40.742827,-73.953575,18,4.5
Tonkatsu Matsunoya,40.7533493041992,-73.9741592407227,370,4.0
Cecconi's Dumbo,40.7033063330116,-73.9916549604523,632,3.5
DeStefano's Steakhouse,40.71503,-73.94767,803,4.5
Lucali,40.6818,-74.00024,1462,4.5
Havana Central,40.75831,-73.98416,2218,4.0
PizzArte,40.7629335072372,-73.9776668697596,1060,4.0
Gyu-Kaku Japanese BBQ,40.75908,-73.98989,1186,4.0
Prince Street Pizza,40.7229087705545,-73.9944863319397,3250,4.5
Sea Wolf,40.70683,-73.9228,433,4.0
Fresh Salt,40.70707,-74.00244,389,4.0
Han Dynasty,40.732072,-73.988074,1204,4.0
Cocoron,40.7207236,-73.9953191,626,4.0
Sakagura,40.7516467024541,-73.9729489318165,1769,4.0
The Meatball Shop,40.721651,-73.988746,2736,4.0
Despaña,40.7210686,-73.9979083,563,4.5
Park Avenue Tavern,40.75031,-73.9783999,734,4.0
Spicy Moon,40.72674,-73.98722,214,4.5
LĒNA,40.719135,-73.991758,119,4.5
Shuka,40.72707,-74.00283,406,4.0
Jongro BBQ,40.747514,-73.986884,1837,4.0
Izakaya,40.72667,-73.98738,246,4.0
Cafe Habana,40.722998,-73.994171,3134,4.0
Tavola,40.755403,-73.994516,904,4.0
Mominette,40.7032458,-73.9258954,663,4.0
Douzo,40.7191369,-73.9908998,33,5.0
Silky Kitchen,40.73297,-73.98829,196,4.5
Tony's Di Napoli,40.75641,-73.98547,2033,4.0
Hold Fast Kitchen and Spirits,40.76064,-73.99023,267,5.0
Mermaid Oyster Bar,40.7287899,-74.00165,1072,4.0
ABC Kitchen,40.738085,-73.989472,2933,4.0
Norikoh,40.7433,-73.99137,17,4.5
Uva,40.7722,-73.95566,2299,4.0
White Oak Tavern,40.730379,-73.99462,340,4.0
Manhatta,40.707762,-74.008851,414,4.5
French Louie,40.6879459,-73.988257,363,4.0
Sup Crab,40.71733,-73.99502,188,4.0
Tiny Shanghai,40.71781,-73.99795,241,4.0
Aska,40.71226,-73.96641,97,4.5
Hutong,40.761551,-73.967443,200,3.5
Oiji,40.72727,-73.98585,489,4.5
Dian Kitchen,40.72772,-73.98321,195,5.0
Tasty Hand-Pulled Noodles,40.7142,-73.99787,1571,4.0
Cuba Restaurant and Rum Bar,40.729084,-73.998832,1520,4.0
Los Tacos No.1,40.7425547,-74.0060838,2858,4.5
Eataly NYC Flatiron,40.74195877796,-73.989716662832,5416,4.0
Ippudo Westside,40.76344,-73.98661,3613,4.0
The Greek,40.7237145,-74.0096166,476,4.5
La Contenta,40.71873,-73.98691,717,4.5
hanon,40.7134488,-73.9513445,84,4.5
Osteria Morini Manhattan,40.7219179851303,-73.9976472073402,1127,4.0
Coppelia,40.73897,-73.99995,1308,4.0
Trattoria Trecolori,40.75998,-73.98671,2296,4.0
Kogane Ramen,40.698608,-73.992675,316,4.0
Shinka Ramen & Sake Bar,40.7170795322745,-73.9952574670315,284,4.5
Adrienne's Pizzabar,40.7043362,-74.0101733,1630,4.0
Adalya,40.7362094701213,-73.9874085025025,127,4.0
Momofuku Nishi,40.7443479,-73.9988054,573,4.0
Soba-ya,40.7296485900879,-73.9878845214844,1448,4.0
The Black Derby,40.737266,-74.00399,180,4.5
Cafe Mogador,40.719747,-73.959993,1143,4.5
YunShang Rice Noodle House,40.71525,-73.99765,165,4.0
Turntable Chicken Jazz,40.74828,-73.98649,1977,4.0
The Hideaway Seaport,40.7080634,-74.002083,83,4.0
Jane,40.72732,-74.00026,3110,4.0
High Lúa Vietnamese Kitchen,40.71258,-73.96045,119,4.5
The Winslow,40.7327766418457,-73.9852142333984,522,4.5
Buvette,40.732704,-74.004317,1690,4.0
Meadowsweet,40.7103995,-73.9632384,368,4.0
Burger & Lobster,40.75596,-73.98532,917,4.0
Gnoccheria By Luzzo's,40.723315,-73.983139,363,4.0
Ñaño Ecuadorian Kitchen,40.7631,-73.99335,535,4.5
Lazy Siu's,40.71261,-73.96077,26,5.0
Paulie Gee's,40.729546,-73.958568,1209,4.5
La Vara,40.68781,-73.99576,349,4.0
Luke's Lobster Brooklyn Bridge Park,40.70359,-73.99411,310,4.0
Maison Premiere,40.7142031,-73.9614855,1135,4.0
