Name,Latitude,Longitude,Votes,Rating,Type,City
Mexicue,40.74202,-74.00046,358,4.0,mexican,ny
Taqueria St. Marks Place,40.7278587780221,-73.9856138085992,416,4.0,mexican,ny
Rosa Mexicano,40.75895,-73.96268,528,3.5,mexican,ny
El Diablito Taqueria,40.72504,-73.98917,351,4.0,mexican,ny
Flats Fix Taqueria,40.73659,-73.99115,174,4.0,mexican,ny
La Esquina - SoHo,40.721372,-73.997529,2018,3.5,mexican,ny
Chilo's,40.68837,-73.95684,212,4.0,mexican,ny
Zona Rosa,40.7139388888686,-73.9494076703442,434,3.5,mexican,ny
Taqueria Gramercy,40.7363,-73.98531,70,4.0,mexican,ny
Dos Caminos,40.7422737,-73.9846134,1165,3.5,mexican,ny
Tortilleria Mexicana Los Hermanos,40.7066299,-73.92198,706,4.0,mexican,ny
Pampano,40.75503,-73.97054,552,4.0,mexican,ny
Dos Caminos,40.7404330511257,-74.0054753422738,998,3.0,mexican,ny
Toloache 82nd,40.77648,-73.95669,402,4.0,mexican,ny
Tacuba,40.75585,-73.92447,647,3.5,mexican,ny
Corazon De Mexico Restaurant & Bar,40.74281,-73.95348,55,4.0,mexican,ny
Alan's Kitchen Mexican Cuisine,40.7594264475,-73.9905066043,32,5.0,mexican,ny
The Calaveras,40.79956,-73.96241,104,4.5,mexican,ny
El Cacto,40.73417,-73.99165,82,4.0,mexican,ny
Dos Caminos,40.7593727,-73.9853281,558,3.5,mexican,ny
Taco Vista,40.692755886949,-74.0145479142666,33,4.0,mexican,ny
Taco Playa,40.70737,-74.00269,68,3.5,mexican,ny
Javelina,40.7368812561035,-73.9873886108398,449,3.5,mexican,ny
Tacombi - Nolita,40.7240304,-73.9939028,1095,3.5,mexican,ny
Otto's Tacos,40.7291289539586,-73.9875403,746,4.0,mexican,ny
Tacocina,40.715238,-73.967644,99,3.5,mexican,ny
La Loba Cantina,40.64569,-73.97283,104,4.0,mexican,ny
Sinigual,40.7503161990978,-73.9750733399726,829,3.5,mexican,ny
Mexicocina Agaveria,40.6768850683622,-73.9636141061783,27,4.5,mexican,ny
Fatty Daddy Taco,40.686578,-73.990821,148,4.0,mexican,ny
Anejo,40.762577,-73.992919,662,3.5,mexican,ny
Tacovision,40.7568200311153,-73.9678929001093,46,4.5,mexican,ny
La Superior,40.71357,-73.96363,570,3.5,mexican,ny
Taqueria Kermes,40.70785,-73.89798,388,4.0,mexican,ny
The Burrito Box,40.76831,-73.98565,857,4.0,mexican,ny
Bar San Miguel,40.68134,-73.9938279,136,4.0,mexican,ny
Dorado Tacos,40.733963,-73.993172,623,4.0,mexican,ny
El Mero Mero,40.753834323302,-73.923701159656,82,4.5,mexican,ny
Chihuahua,40.7425222545862,-73.9176765829325,140,4.5,mexican,ny
La Esquina - Midtown,40.7642986928764,-73.9814604957066,191,4.0,mexican,ny
Taqueria Diana,40.7284337609976,-73.9879844318771,721,4.0,mexican,ny
Tacombi - Flatiron,40.742807,-73.991138,637,3.5,mexican,ny
Cosme,40.739691,-73.988428,998,3.5,mexican,ny
Habanero Blues,40.75049,-73.98517,244,3.5,mexican,ny
De Mole,40.7391932,-73.9202624,605,4.0,mexican,ny
Taco Dumbo,40.75275,-73.98756,82,4.0,mexican,ny
El Kallejon,40.798538,-73.938805,277,4.5,mexican,ny
The Little Taco House,40.73475,-74.00321,39,4.5,mexican,ny
Lucky Cheng's,40.765076,-73.995986,87,3.5,mexican,ny
Rosa Mexicano,40.7141113543271,-74.0092619508505,189,3.0,mexican,ny
Essex Taqueria,40.7197418,-73.9877989,260,4.0,mexican,ny
Cascalote Latin Bistro,40.79271,-73.94069,336,4.5,mexican,ny
Ho' Brah a taco joint,40.623006,-74.031548,773,4.0,mexican,ny
Swell Dive,40.689183858613,-73.9549609646201,87,4.0,mexican,ny
Taqueria Milear,40.6729835327648,-73.9503121359905,191,4.5,mexican,ny
Luchadores,40.70582,-74.00411,66,3.5,mexican,ny
El Parador Cafe,40.7444599,-73.97472,422,4.0,mexican,ny
Viva Toro,40.7166,-73.96136,489,3.0,mexican,ny
Bodega Negra,40.7421414364183,-74.0035781860352,654,3.5,mexican,ny
Casa Azul,40.6655705744252,-73.9825450299114,39,4.0,mexican,ny
Sonora,40.6824295855403,-73.9199669121657,152,3.5,mexican,ny
Temerario,40.7434133400872,-73.9996277220286,255,4.0,mexican,ny
Coney Shack,40.75659,-73.98589,289,4.5,mexican,ny
El Vez,40.7147356376792,-74.015635,642,3.5,mexican,ny
Nacho Macho Taco,40.6764068073189,-73.9627275318417,279,4.5,mexican,ny
Cena Brooklyn,40.6514621241404,-73.9757554605603,49,4.0,mexican,ny
Cantina Taqueria & Tequila Bar,40.8003063353508,-73.9549569049235,492,4.0,mexican,ny
Gonzalez y Gonzalez,40.7261303289736,-73.9972339217213,459,3.5,mexican,ny
Emojo Burger,40.7323,-73.98224,137,4.0,mexican,ny
Rosarito Fish Shack,40.7195575,-73.9607528,531,3.0,mexican,ny
Fonda Chelsea,40.7455185879981,-74.0021848849335,329,3.5,mexican,ny
Mexicue,40.754412,-73.986511,493,4.0,mexican,ny
La Lupe,40.69725,-73.93517,164,3.5,mexican,ny
Café Frida,40.7808959,-73.9764829,655,3.5,mexican,ny
Taco Morelos,40.71783,-73.95773,95,4.0,mexican,ny
Tepache,40.683368,-73.938289,326,3.5,mexican,ny
Tacombi - Empire State Building,40.748375,-73.9864908,166,4.0,mexican,ny
Friducha,40.73152,-73.95432,72,4.0,mexican,ny
Mexico 2000 Restaurant,40.70765,-73.95493,127,4.0,mexican,ny
Jimbo Slims,40.7209450363619,-73.9465168238625,34,5.0,mexican,ny
Two Lizards Mexican Bar & Grill,40.768857,-73.955524,462,3.5,mexican,ny
Barnacho,40.7540321350098,-73.9688491821289,201,4.0,mexican,ny
Las Margaritas Sunset,40.7176805498912,-73.9449793863278,40,4.0,mexican,ny
Tacombi - Fort Greene,40.68699,-73.9779,132,3.5,mexican,ny
Virgin Mary Tacos,40.7400398,-73.9766541,6,5.0,mexican,ny
La Loncheria,40.702921,-73.929105,56,4.5,mexican,ny
El Santo Taqueria,40.70427,-73.9302,17,4.5,mexican,ny
Taco Edition,40.71177,-73.94134,75,4.0,mexican,ny
Papatzul,40.722148,-74.003677,417,3.5,mexican,ny
