Name,Latitude,Longitude,Votes,Rating,Type,City
Ella Kitchen & Bar,40.7770496467021,-73.9788913948279,490.0,4.0,mediterranean,ny
Ravagh Persian Grill,40.7618025365842,-73.9605525538847,288.0,4.0,mediterranean,ny
Mémé Mediterranean,40.760929,-73.994827,273.0,4.0,mediterranean,ny
CAVA,40.6925169,-73.988608,52.0,4.0,mediterranean,ny
Sumela Mediterranean Cafe & Grill,40.7750785978051,-73.950450334847,118.0,4.5,mediterranean,ny
Loi Estiatorio,40.765385,-73.978002,343.0,4.5,mediterranean,ny
Fig & Olive - Fifth Ave,40.7594108995958,-73.9755487419944,1142.0,3.5,mediterranean,ny
Beyoglu,40.7754199,-73.9562399,1131.0,4.0,mediterranean,ny
The Drunken Horse,40.748073,-74.004226,126.0,4.0,mediterranean,ny
Ringolevio,40.71907,-73.94337,274.0,4.5,mediterranean,ny
Marseille,40.759806,-73.991378,875.0,4.0,mediterranean,ny
Arco Cafe,40.7988462,-73.967065,259.0,4.5,mediterranean,ny
Benno,40.74388,-73.98705,28.0,4.5,mediterranean,ny
Astoria Seafood and Grill,40.76586,-73.91304,71.0,4.5,mediterranean,ny
Eva's Kitchen,40.732822,-73.997152,394.0,4.5,mediterranean,ny
Miriam,40.6801719843659,-73.9777555239717,982.0,4.0,mediterranean,ny
ZAVŌ Restaurant & Lounge,40.7622655124751,-73.9659871403697,124.0,4.0,mediterranean,ny
CAVA,40.721964,-73.996499,72.0,4.0,mediterranean,ny
Mezetto,40.7228863781236,-73.9889362576721,587.0,4.0,mediterranean,ny
Kefi,40.78332,-73.97946,143.0,4.0,mediterranean,ny
Avra Madison,40.7644,-73.97166,262.0,4.0,mediterranean,ny
Cibo E Vino,40.790206,-73.9749174,309.0,4.0,mediterranean,ny
Balade - Your Way,40.7524299621582,-73.9887237548828,341.0,4.5,mediterranean,ny
Antique Garage Tribeca,40.71972,-74.00397,93.0,4.0,mediterranean,ny
Antique Garage Soho,40.72152,-74.00142,403.0,3.5,mediterranean,ny
CAVA,40.7541862,-73.9819133,56.0,4.5,mediterranean,ny
Eléa,40.78754,-73.9765199,77.0,4.0,mediterranean,ny
Il Fiorista,40.74413,-73.98955,14.0,4.5,mediterranean,ny
Rintintin,40.721146,-73.994904,165.0,3.5,mediterranean,ny
Petisco Vegano,40.713928,-73.988805,24.0,5.0,mediterranean,ny
One Lenox,40.76106,-73.96124,56.0,4.5,mediterranean,ny
Heights Falafel,40.698551,-73.992706,230.0,4.0,mediterranean,ny
Dua Kafe,40.72979,-73.97924,48.0,4.5,mediterranean,ny
Limani,40.7593809598193,-73.9778140767212,411.0,4.0,mediterranean,ny
Taheni Mediterranean Grill,40.67742,-73.98343,215.0,4.5,mediterranean,ny
Turkish Kitchen,40.74189,-73.98136,560.0,4.0,mediterranean,ny
ABA Turkish Restaurant,40.7672794037324,-73.9838727571167,499.0,4.0,mediterranean,ny
Underhill Brooklyn,40.67942,-73.96554,55.0,4.5,mediterranean,ny
Mamoun's Falafel,40.7288849575335,-73.988463348408,1160.0,4.0,mediterranean,ny
Pita Palace,40.7172485,-73.9448511,220.0,5.0,mediterranean,ny
Taim West Village,40.736002376347,-74.0019588366439,1514.0,4.5,mediterranean,ny
Ba'al Cafe & Falafel,40.7244699,-74.0039,279.0,4.5,mediterranean,ny
Barbounia,40.7382,-73.98804,1224.0,3.5,mediterranean,ny
