Name,Latitude,Longitude,Votes,Rating,Type,City
88 Lan Zhou Handmade Noodle,40.7155,-73.99675,1787,4.0,indian,ny
Galli,40.72161,-74.00127,901,4.0,indian,ny
Top Thai Greenwich,40.72977,-73.99939,1314,4.5,indian,ny
Fish Cheeks,40.7258,-73.9927,524,4.5,indian,ny
Win Son,40.70747,-73.94339,442,4.0,indian,ny
Wah Fung No 1 Fast Food,40.71735,-73.99457,1356,4.5,indian,ny
Luke's Lobster FiDi,40.7046213003984,-74.0107793876969,1130,4.5,indian,ny
The Ribbon,40.7576,-73.98693,138,4.0,indian,ny
Juanchi's Burger,40.713003,-73.958863,386,4.5,indian,ny
Traif,40.710658,-73.958872,1842,4.5,indian,ny
Hao Noodle Chelsea,40.7406999,-74.00436,334,4.5,indian,ny
Tsurutontan Udon Noodle Brasserie,40.73678,-73.9910699,1763,4.0,indian,ny
Rabbit House Japanese Tapas & Sake Bar,40.71725,-73.99329,218,4.5,indian,ny
Ugly Kitchen,40.7266856651479,-73.9862178981476,610,4.0,indian,ny
Basta Pasta,40.73881,-73.99407,1406,4.0,indian,ny
Westville Dumbo,40.7017969340086,-73.9896315336227,269,4.0,indian,ny
Savida,40.71645,-74.00783,66,4.5,indian,ny
IL Brigante,40.707492,-74.002571,379,4.0,indian,ny
Buddakan,40.7422762672197,-74.0048000961542,3894,4.0,indian,ny
Ducks Eatery,40.7306252,-73.9846268,618,4.0,indian,ny
Fong On,40.71417,-73.9937,47,4.5,indian,ny
Rasa,40.7327654,-73.9975674,685,4.0,indian,ny
Clay Pot - East Village,40.7279880270274,-73.9865907985248,299,4.5,indian,ny
The Binc,40.6992682,-73.9923109,69,4.5,indian,ny
Maharlika,40.72695,-73.98611,1491,4.0,indian,ny
La Sirène-Soho,40.7243642217227,-74.005708694458,1584,4.5,indian,ny
Evelina,40.689722,-73.971003,151,4.5,indian,ny
Khe-Yo,40.716906,-74.008587,710,4.0,indian,ny
China Blue,40.724038,-74.009958,675,4.0,indian,ny
Izakaya Juraku,40.7196796287355,-73.9887088537216,82,4.5,indian,ny
Lilia,40.71757,-73.95236,754,4.0,indian,ny
Boqueria Soho,40.724912,-74.0021299,974,4.0,indian,ny
OBAO,40.7606544,-73.991332,2463,4.0,indian,ny
Peaches HotHouse,40.6833699737169,-73.9437798410654,1137,4.0,indian,ny
Red Hook Lobster Pound,40.6797687107191,-74.0103686973453,1053,4.0,indian,ny
GunBae,40.714683,-74.010223,257,4.0,indian,ny
Excuse My French,40.71844,-73.98981,268,4.5,indian,ny
Pepe Giallo,40.7468940064083,-74.0049896784992,624,4.0,indian,ny
Up Thai,40.7698275926665,-73.9576330868512,2178,4.5,indian,ny
Sauce & Barrel,40.707999,-74.0142651,377,4.0,indian,ny
Set L.E.S,40.7198495417833,-73.9885318279266,427,4.0,indian,ny
Malatesta Trattoria,40.73285,-74.00847,1227,4.0,indian,ny
Claw Daddy's,40.722071,-73.98847,1604,4.0,indian,ny
Kaikagetsu NYC,40.72104,-73.98848,50,4.5,indian,ny
Pollo D' Oro,40.6949059702115,-73.9833294451642,243,4.0,indian,ny
Time Out Market New York,40.7037211399782,-73.9918105285751,194,3.5,indian,ny
Roberta's,40.705043534338,-73.93357123374,2764,4.0,indian,ny
Lupa,40.7276,-74.000045,1501,4.0,indian,ny
Mable's Smokehouse & Banquet Hall,40.7211890204726,-73.9570004492998,821,4.0,indian,ny
Itaewon,40.7475125111924,-73.9867554408843,90,4.5,indian,ny
Miss Ada,40.689436,-73.9723809,199,4.5,indian,ny
Otaku Katsu,40.719384,-73.986529,29,4.5,indian,ny
The Saint Austere,40.7114604,-73.9476182,381,4.5,indian,ny
El Mate,40.6749782203506,-73.9995224876405,289,4.5,indian,ny
Pies-n-Thighs,40.711191,-73.961424,2832,4.0,indian,ny
Beauty & Essex,40.72037,-73.98677,3401,4.0,indian,ny
shabushabu Mayumon,40.71434,-73.99205,8,5.0,indian,ny
Forno Rosso,40.69446,-73.98316,662,4.0,indian,ny
Nino's 46,40.7569159,-73.980516,1160,4.0,indian,ny
Da Claudio,40.71087,-74.00753,448,4.5,indian,ny
Uncle Boons,40.7211328622237,-73.9943286309159,936,4.0,indian,ny
Scarpetta,40.744509,-73.9856,1875,4.0,indian,ny
Emporio,40.7226371,-73.9951331,773,4.0,indian,ny
The Horny Ram,40.75528,-73.96857,441,4.0,indian,ny
Hometown Bar-B-Que,40.6748965703426,-74.0160489746129,1306,4.0,indian,ny
Ugly Baby,40.67795,-73.9961,308,4.5,indian,ny
Takashi,40.7313524,-74.0065048,977,4.0,indian,ny
Gato,40.7255312,-73.9951947,1129,4.0,indian,ny
Local 92,40.726957,-73.9885354,398,4.0,indian,ny
Ise Restaurant,40.7291024,-73.9900618,426,4.5,indian,ny
Shanghai 21,40.7144199,-73.99889,1607,4.0,indian,ny
Misi,40.71341,-73.96662,240,4.0,indian,ny
M Noodle Shop,40.720348,-73.988659,20,5.0,indian,ny
Nostro East Village,40.726591,-73.9895454,19,4.5,indian,ny
Takeshi Sushi,40.72294,-74.00464,71,4.5,indian,ny
YunShang Rice Noodle House,40.71525,-73.99765,168,4.0,indian,ny
Libertador Steakhouse - Brooklyn,40.6872890722053,-73.9980973979345,224,4.0,indian,ny
Hakata Tonton,40.733234,-74.003326,991,4.0,indian,ny
The Seafire Grill,40.7547012104496,-73.972255513072,1230,4.5,indian,ny
Tanner Smiths,40.76442,-73.98169,1668,4.5,indian,ny
Pio Pio 8,40.760506289326,-73.994564488901,2304,4.0,indian,ny
Acqua Restaurant NYC,40.7082567,-74.001797,368,4.0,indian,ny
Forma Pasta Factory,40.72371,-73.95157,116,5.0,indian,ny
