Name,Latitude,Longitude,Votes,Rating
Puebla's Mexican Kitchen,29.808234,-95.389334,179.0,4.5
Chapultepec Lupita,29.73436,-95.38932,281.0,3.5
Tacos Tec Lo Mejor De Monterrey,29.6727,-95.26375,75.0,4.0
Luchi & Joey's,29.75773,-95.36496,16.0,4.0
El Taco Man,29.8048036558132,-95.3785737690445,13.0,5.0
Taconmadre,29.77828,-95.2934,53.0,4.0
Tacos A Go Go,29.781857507123,-95.3900327670036,436.0,4.0
Taqueria El Rojo Loco,29.7941195,-95.3410278,16.0,4.0
Alamo Tamale & Taco,29.7586078643799,-95.3467636108398,96.0,4.0
Taqueria La Creacion,29.7332735659396,-95.3757746193653,12.0,5.0
Tampico Seafood,29.80664,-95.38221,108.0,3.5
Tia Maria's,29.8069049,-95.4575466,259.0,3.5
Soul Taco,29.8106235725603,-95.4116054624319,28.0,4.5
Black Market Burritos,29.73492,-95.37477,14.0,4.5
Arnaldo Richard's Picos,29.7337646484375,-95.4180526733398,661.0,3.5
Alma Latina,29.8061065673828,-95.4104537963867,219.0,3.5
Merida Restaurant,29.7583485,-95.3439636,100.0,3.5
Doneraki Restaurants,29.6996551203043,-95.2941609086306,163.0,2.5
Tony's Mexican Restaurant,29.8064484785172,-95.4288773423769,284.0,3.5
La Guadalupana Bakery & Café,29.74687,-95.40188,545.0,4.0
Taqueria Chabelita,29.75016,-95.32171,10.0,4.5
La Reynera Bakery,29.74199,-95.33704,41.0,4.5
Laredo Taqueria,29.82236,-95.36095,16.0,4.5
Mucho Mexico Cafe And Bakery,29.8030223846436,-95.2658081054688,11.0,4.0
Super La Mexicana,29.67308,-95.44022,162.0,4.0
El Novillo Restaurant,29.776442,-95.361137,4.0,5.0
Bullritos,29.7544915,-95.36198,32.0,4.0
Ojos Locos,29.830784252228,-95.3815146775592,60.0,2.5
Don Chile Mexican Restaurant,29.777063369751,-95.2837448120117,42.0,4.0
El Charro Mexican Bar & Grill,29.74662,-95.33799,52.0,3.5
El Mesquite,29.7235531,-95.2787601,6.0,5.0
Don Carlos Mexican Restaurants,29.73421,-95.28901,52.0,3.5
Gita's Cafe,29.74995,-95.33397,5.0,5.0
Fajita Pete's - Rice Military,29.76171,-95.41945,9.0,4.0
Tortas El Angel,29.78926,-95.40954,53.0,4.0
Taqueria Tacambaro,29.8106327056885,-95.3799819946289,26.0,4.5
Taqueria Del Sol,29.68577,-95.27652,356.0,4.0
Fusion Eats,29.7321111731769,-95.4346245767212,66.0,4.0
La Palapa Downtown,29.7607392,-95.3603133,29.0,4.0
La Casa Bakery & Cafe,29.7771,-95.35817,43.0,5.0
Freebirds World Burrito,29.7754550834866,-95.3826543688774,124.0,3.5
Lone Star Taco,29.7600133163502,-95.3623156950491,160.0,3.5
Pollos Asados La Silla,29.7481765725576,-95.3269641788696,44.0,3.5
Tacodeli,29.7682,-95.37761,304.0,4.0
Kenz,29.7417332050694,-95.4629419170776,14.0,4.0
Freebirds World Burrito,29.7328068728171,-95.4126843810082,202.0,3.5
Molina's Cantina,29.7054936484764,-95.4374956955725,129.0,3.0
Torchy's Tacos,29.8027435445819,-95.4034541865077,675.0,3.5
Unos P'nches Tacos,29.8041456666703,-95.3778756782413,203.0,4.5
Taqueria Taconazo,29.74689,-95.2997199,8.0,4.5
Tacos A Go Go,29.81743,-95.44661,277.0,4.0
Refresqueria Tampico,29.74325724623,-95.3262173384428,17.0,4.0
Taqueria El Sol De Mexico,29.747064,-95.302302,17.0,3.0
Spanish Village Restaurant,29.7272415161133,-95.3775405883789,139.0,3.5
El Pueblito Place,29.734281,-95.398634,266.0,3.0
Tacos Y Tortas El Pastorsito DF,29.6934301601443,-95.4083715269836,26.0,4.5
