Name,Latitude,Longitude,Votes,Rating,Type,City
Benito One,40.7200188460948,-73.9969412164592,699,4.0,italian,ny
Crispo,40.7392469,-74.0016882,950,4.0,italian,ny
The Meatball Shop,40.7459138,-74.0015369,858,4.0,italian,ny
Gaia Italian Café,40.721653,-73.985346,979,4.0,italian,ny
Osteria Cotta,40.78554,-73.97263,840,4.0,italian,ny
Quality Italian,40.7644044527436,-73.9767805051616,1038,4.0,italian,ny
San Marino Ristorante,40.72697,-74.00611,142,4.0,italian,ny
Pasta Eater,40.73765,-73.99134,46,4.0,italian,ny
Ovest Pizzoteca by Luzzo's,40.7507476806641,-74.0030212402344,518,4.0,italian,ny
The Meatball Shop,40.7182749,-73.9576213,1222,4.0,italian,ny
LaLou,40.680311,-73.967596,35,4.5,italian,ny
Carbone,40.728,-74.0001497,952,4.0,italian,ny
La Pecora Bianca,40.74358,-73.9892,523,4.0,italian,ny
Giano Restaurant,40.7262256596862,-73.9840574049125,569,4.5,italian,ny
Cotenna,40.72903,-74.00357,389,4.0,italian,ny
Maite,40.69924,-73.926797,174,4.0,italian,ny
Follia NYC,40.7349243164062,-73.9855880737305,155,4.0,italian,ny
Da Gennaro,40.71832,-73.99794,925,4.0,italian,ny
Forlini's Restaurant,40.71695,-73.99957,426,4.5,italian,ny
Verde On Smith,40.684437,-73.992234,500,4.0,italian,ny
Attraversa West Village,40.7290058570751,-74.0033128150578,20,5.0,italian,ny
Frankies 457 Spuntino,40.677328,-73.997972,787,4.0,italian,ny
Sottocasa Pizzeria,40.688285,-73.989006,613,4.5,italian,ny
Marta,40.7445212750732,-73.9845828515206,863,4.0,italian,ny
Gersi,40.683438,-73.995711,241,4.5,italian,ny
Patrizia's Pizza and Pasta,40.7398415,-73.9792862,555,4.0,italian,ny
Aunt Jake's,40.73329,-73.99852,216,4.0,italian,ny
Keste Fulton,40.709239,-74.004869,158,4.0,italian,ny
Le Fanfare,40.736202,-73.955558,167,4.0,italian,ny
LaRina Pastificio & Vino,40.6933631896973,-73.9704132080078,136,4.0,italian,ny
Fiaschetteria Pistoia,40.73316,-74.00537,38,4.5,italian,ny
Mercato,40.75619,-73.9937,859,4.0,italian,ny
Caffe Buon Gusto,40.77249,-73.95713,448,4.0,italian,ny
Bar B,40.7395804,-73.999118,173,4.5,italian,ny
Graziella's,40.6904563903809,-73.9696273803711,395,4.0,italian,ny
Al Di La Trattoria,40.675332643247,-73.981340475038,884,4.0,italian,ny
Carmine's Italian Restaurant - Upper West Side,40.791077,-73.973763,1310,4.0,italian,ny
Il Buco,40.72583,-73.99299,654,4.0,italian,ny
Ai Fiori,40.7500752,-73.9837835,1231,4.0,italian,ny
Panzerotti Bites,40.683715,-73.99227,110,5.0,italian,ny
Patzeria Family & Friends,40.7615,-73.98754,1044,4.5,italian,ny
Becco,40.76083,-73.98981,2814,3.5,italian,ny
Patrizia's - Williamsburg,40.7109154314181,-73.9673637711639,616,4.0,italian,ny
La Bella Vita,40.719816,-73.997403,367,4.0,italian,ny
Trapizzino,40.72043,-73.98894,214,4.5,italian,ny
Leuca,40.722121,-73.956678,309,4.0,italian,ny
Fiaschetteria Pistoia,40.72666,-73.9773,153,4.0,italian,ny
Pepolino Restaurant,40.720756,-74.004885,538,4.0,italian,ny
Dellarocco's,40.6950309,-73.9961252,247,4.0,italian,ny
Margherita NYC,40.7189865112305,-73.9969329833984,289,4.0,italian,ny
Patsy's Pizzeria,40.6818695,-73.976181,505,4.5,italian,ny
Mariella,40.6662419,-73.985749,326,4.5,italian,ny
Briciola,40.7637997047278,-73.9880919456482,808,4.0,italian,ny
San Carlo Osteria Piemonte,40.72517,-74.00212,199,4.5,italian,ny
Mama Mia 44 SW,40.759761,-73.992065,557,4.0,italian,ny
Sauce,40.720512182453,-73.989400288419,787,4.0,italian,ny
Posto,40.73483,-73.98282,596,4.0,italian,ny
Via Della Pace,40.7277013287721,-73.9877394513958,532,4.0,italian,ny
Locanda Vini e Olii,40.685007,-73.962943,302,4.0,italian,ny
The Longshoreman,40.68472,-74.0027,43,4.5,italian,ny
Tre,40.72184,-73.987714,462,4.0,italian,ny
Sola Pasta Bar,40.72229,-74.00403,200,4.0,italian,ny
Della,40.65287,-73.97631,113,4.0,italian,ny
Santa Panza,40.6947,-73.93068,150,4.5,italian,ny
Via Carota,40.7331,-74.00369,505,4.0,italian,ny
Casa Nonna,40.75496,-73.99247,528,4.0,italian,ny
Barboncino Pizza & Bar,40.67206,-73.95717,924,4.0,italian,ny
Cent'Anni,40.6730907423467,-73.9573492245369,413,3.5,italian,ny
MAMO Restaurant,40.72186,-74.00382,244,4.0,italian,ny
Maiella,40.7470416595732,-73.956579002435,850,4.0,italian,ny
The Meatball Shop,40.736125,-74.000607,862,4.0,italian,ny
B Squared,40.7615509,-73.9906616,422,4.5,italian,ny
Fausto,40.67597,-73.97181,145,4.0,italian,ny
Bistro Les Amis,40.724678,-74.002624,361,4.0,italian,ny
Mi Garba,40.733253210783,-73.9898487925529,148,4.0,italian,ny
Faun,40.678271,-73.968883,143,4.0,italian,ny
