Name,Latitude,Longitude,Votes,Rating,Type
Bubby's High Line,40.7395398791443,-74.0078054871199,750,3.5,american
Breakroom,40.7166907225542,-73.9999440120647,1568,4.5,american
La Contenta,40.71873,-73.98691,719,4.5,american
Blue Ribbon Brasserie - SoHo,40.725456,-74.003027,923,4.5,american
Peaches HotHouse,40.6833699737169,-73.9437798410654,1135,4.0,american
Birds of a Feather,40.71442,-73.960441,300,4.0,american
Up Thai,40.7698275926665,-73.9576330868512,2174,4.5,american
Park Avenue Tavern,40.75031,-73.9783999,734,4.0,american
Rabbithole Restaurant,40.7122932799856,-73.9628687873483,810,4.0,american
Itaewon,40.7475125111924,-73.9867554408843,90,4.5,american
Zhen Wei Fang,40.72128,-73.99343,169,4.0,american
Dutch Freds,40.760835,-73.987823,1461,4.5,american
Gramercy Tavern,40.738527,-73.988417,2844,4.5,american
Sup Crab,40.71733,-73.99502,190,4.0,american
Win Son,40.70747,-73.94339,438,4.5,american
Rubirosa,40.72275,-73.99622,2102,4.5,american
Tribeca's Kitchen,40.7162705535921,-74.0072225927912,473,4.0,american
Jora Restaurant & Bar,40.7438054,-73.9515007,574,4.5,american
Dian Kitchen,40.72772,-73.98321,195,5.0,american
886,40.72877,-73.98873,316,4.0,american
Forma Pasta Factory,40.72371,-73.95157,115,5.0,american
Sunday in Brooklyn,40.714145,-73.965322,701,4.0,american
Bijan's,40.68803,-73.98671,539,4.0,american
Woorijip,40.74747,-73.98648,2598,4.0,american
Freemans,40.721988,-73.992466,2030,4.0,american
5ive Spice,40.68145923448,-73.9772509779765,592,4.0,american
RH Rooftop Restaurant,40.73985,-74.00639,247,4.0,american
Westville Dumbo,40.7017969340086,-73.9896315336227,267,4.0,american
Sea Wolf,40.70683,-73.9228,433,4.0,american
Shanghai 21,40.7144199,-73.99889,1607,4.0,american
Shu Jiao Fu Zhou Cuisine Restaurant,40.7184290357839,-73.9916928979573,794,4.5,american
Gelso & Grand,40.7194089547259,-73.9973777877722,852,4.5,american
The Halal Guys,40.761854,-73.979363,9278,4.0,american
Los Tacos No.1,40.7575067,-73.9877717,1581,4.5,american
Ducks Eatery,40.7306252,-73.9846268,618,4.0,american
Tsurutontan Udon Noodle Brasserie,40.73678,-73.9910699,1758,4.0,american
Emily,40.68351,-73.96643,744,4.0,american
Toloache 50,40.762325,-73.9855741,1899,4.0,american
L'Artusi,40.733714,-74.005068,1780,4.5,american
The Ribbon,40.7576,-73.98693,136,4.0,american
Han Dynasty,40.732072,-73.988074,1204,4.0,american
Clay Pot - East Village,40.7279880270274,-73.9865907985248,298,4.0,american
Miti Miti,40.6786672454389,-73.9791200818081,896,4.0,american
HandCraft Kitchen & Cocktails,40.74103,-73.98132,371,4.0,american
Soco,40.693866,-73.964535,2083,4.0,american
Buttermilk Channel,40.675919,-73.999059,1858,4.0,american
Hupo琥珀,40.742827,-73.953575,20,4.5,american
The Hive,40.7201725641173,-73.9617135105149,178,4.0,american
Eataly NYC Flatiron,40.74195877796,-73.989716662832,5416,4.0,american
Peter Luger,40.709945,-73.962478,5595,4.0,american
Otaku Katsu,40.719384,-73.986529,28,4.5,american
Jiang Diner,40.72665,-73.98838,98,4.0,american
Cafe Habana,40.722998,-73.994171,3134,4.0,american
Las Ramblas,40.731958,-74.0015486,712,4.0,american
Tanner Smiths,40.76442,-73.98169,1663,4.5,american
Friedman's,40.748297,-73.990649,2322,4.0,american
Okonomi,40.712622,-73.9487843,448,4.5,american
Pepe Rosso Social,40.72007,-73.99618,812,4.0,american
DOMODOMO New York,40.72803,-74.00167,1018,4.5,american
Cock & Bull,40.7560908823673,-73.9804858350908,528,4.0,american
Tonii’s Fresh Rice Noodle,40.71572,-73.99899,24,4.0,american
Savida,40.71645,-74.00783,65,4.5,american
Claw Daddy's,40.722071,-73.98847,1598,4.0,american
The Binc,40.6992682,-73.9923109,70,4.5,american
Shinka Ramen & Sake Bar,40.7170795322745,-73.9952574670315,284,4.5,american
Jun-Men Ramen Bar,40.748209,-74.00047,595,4.0,american
Laojie Hotpot,40.6389709339157,-74.0046846944427,526,4.5,american
Buvette,40.732704,-74.004317,1691,4.0,american
Spicy Moon,40.72674,-73.98722,214,4.5,american
Niche,40.71786,-73.98518,81,4.0,american
Tiny Shanghai,40.71781,-73.99795,242,4.0,american
The Wild Son,40.74073,-74.00836,459,4.5,american
AlMar,40.702662,-73.989177,425,4.0,american
Time Out Market New York,40.7037211399782,-73.9918105285751,188,3.5,american
Shuka,40.72707,-74.00283,407,4.0,american
The River Café,40.70318,-73.9946499,1109,4.0,american
Mable's Smokehouse & Banquet Hall,40.7211890204726,-73.9570004492998,821,4.0,american
YunShang Rice Noodle House,40.71525,-73.99765,166,4.0,american
Olea,40.6877844,-73.9706046,845,4.0,american
Soba-ya,40.7296485900879,-73.9878845214844,1449,4.0,american
Luke's Lobster Brooklyn Bridge Park,40.70359,-73.99411,310,4.0,american
Yara,40.75646,-73.9662,80,4.5,american
BlackTail,40.7044769199104,-74.0174372308775,279,4.5,american
Baba's Pierogies,40.67687,-73.98633,381,4.5,american
Jack the Horse Tavern,40.699973,-73.993781,386,4.0,american
Amy Ruth's,40.80248,-73.95038,2557,4.0,american
LĒNA,40.719135,-73.991758,119,4.5,american
Pio Pio 8,40.760506289326,-73.994564488901,2305,4.0,american
IL Brigante,40.707492,-74.002571,380,4.0,american
Naked Dog,40.7312720665479,-73.9593493647979,192,4.5,american
La Sirène-Soho,40.7243642217227,-74.005708694458,1584,4.5,american
Taboonette,40.7347009,-73.9927323,833,4.0,american
Kopitiam,40.71387,-73.99091,568,4.0,american
Clover Club,40.6846046447754,-73.9921875,762,4.0,american
Silky Kitchen,40.73297,-73.98829,196,4.5,american
Jack's Wife Freda,40.729826,-74.003516,829,4.0,american
Carroll Place,40.7287,-73.99971,1026,4.0,american
Lowerline,40.67421,-73.96324,141,4.5,american
Ise Restaurant,40.7291024,-73.9900618,425,4.5,american
Hole in the Wall,40.70837,-74.00563,510,4.5,american
M Noodle Shop,40.720348,-73.988659,19,4.5,american
Coppelia,40.73897,-73.99995,1309,4.0,american
Supper,40.7229,-73.98527,1268,4.0,american
Antica Ristorante,40.7039355145338,-74.0121731758117,491,4.5,american
Yin Ji Chang Fen Rice Roll,40.71583,-73.999336,96,3.5,american
Burger & Lobster,40.75596,-73.98532,919,4.0,american
Bengal Tiger Indian Food,40.763167,-73.977131,1782,4.5,american
Malatesta Trattoria,40.73285,-74.00847,1228,4.0,american
Momosan Ramen & Sake,40.74993,-73.97746,1580,4.0,american
Cheeky Sandwiches,40.7158,-73.99169,1139,4.5,american
Pado,40.7314,-73.98589,254,4.5,american
China Blue,40.724038,-74.009958,674,4.0,american
Maharlika,40.72695,-73.98611,1491,4.0,american
Banter,40.72787,-74.0010999,395,4.5,american
Casa Enrique,40.743404338358,-73.954350367693,1144,4.0,american
Traif,40.710658,-73.958872,1842,4.5,american
The Paris Cafe,40.70732,-74.00159,312,4.0,american
Modern Love Brooklyn,40.70983,-73.95109,461,4.5,american
hanon,40.7134488,-73.9513445,84,4.5,american
Ruby's Cafe,40.7223288,-73.996326,1145,4.0,american
High Lúa Vietnamese Kitchen,40.71258,-73.96045,120,4.5,american
Boqueria Soho,40.724912,-74.0021299,972,4.0,american
Pollo D' Oro,40.6949059702115,-73.9833294451642,243,4.0,american
Cocoron,40.7207236,-73.9953191,626,4.0,american
GunBae,40.714683,-74.010223,256,4.0,american
Madame Vo,40.72925,-73.98612,745,4.0,american
Ippudo Westside,40.76344,-73.98661,3614,4.0,american
Jin Ramen,40.78534,-73.97695,861,4.0,american
The Little Owl,40.7323808291402,-74.0053009986877,1252,4.0,american
Saigon Shack,40.72969,-74.000629,2333,4.0,american
Takeshi Sushi,40.72294,-74.00464,67,4.5,american
Le Parisien,40.7454079308793,-73.9791478306885,939,4.0,american
Black Tap - Midtown,40.76347,-73.97978,1100,4.0,american
Ñaño Ecuadorian Kitchen,40.7631,-73.99335,535,4.5,american
Hold Fast Kitchen and Spirits,40.76064,-73.99023,268,5.0,american
Lazy Siu's,40.71261,-73.96077,26,5.0,american
Chez Ma Tante,40.7268966108951,-73.9574290439961,148,4.5,american
Lolo's Seafood Shack,40.80486,-73.95567,674,4.0,american
Pommes Frites,40.730022,-74.000152,866,4.5,american
Gyu-Kaku Japanese BBQ,40.75908,-73.98989,1186,4.0,american
Dim Sum Palace,40.76015,-73.9893699,1162,4.0,american
Khe-Yo,40.716906,-74.008587,709,4.0,american
BLVD Bistro,40.8043626,-73.9557515,798,4.0,american
Noodle Village,40.714167,-73.998803,1051,4.0,american
Dar 525,40.711266,-73.950317,458,4.5,american
Ugly Kitchen,40.7266856651479,-73.9862178981476,609,4.0,american
The Smith,40.7716201269986,-73.9818377981476,1612,4.0,american
