Name,Latitude,Longitude,Votes,Rating,Type
Taverna Kyclades,40.7753227,-73.909217,2221.0,4.0,mediterranean
Avlee Greek Kitchen,40.679911,-73.994879,254.0,4.5,mediterranean
Lokal 83 Mediterranean Kitchen,40.7842696,-73.9734941,289.0,4.5,mediterranean
Taverna Kyclades - East Village,40.7310782469639,-73.9825163036585,800.0,4.0,mediterranean
19 Cleveland By Nish Nush,40.72164,-73.99722,121.0,4.5,mediterranean
Ravagh Persian Grill,40.74564,-73.9855,755.0,4.0,mediterranean
Covina,40.7423054,-73.9832149,335.0,4.5,mediterranean
Zizi,40.74293,-74.00002,10.0,5.0,mediterranean
Miriam,40.6801719843659,-73.9777555239717,980.0,4.0,mediterranean
Seed,40.6754336,-73.9811254,187.0,4.0,mediterranean
Petisco Vegano,40.713928,-73.988805,23.0,4.5,mediterranean
Astoria Seafood,40.754,-73.9298699,635.0,4.0,mediterranean
Apollonia,40.70785,-73.94476,26.0,4.5,mediterranean
Boulud Sud,40.7718614234522,-73.9816256082283,726.0,4.0,mediterranean
Doner Kebab NYC,40.69216,-73.98755,165.0,4.5,mediterranean
Nerai,40.7602,-73.97308,450.0,4.5,mediterranean
The Quarter Brooklyn,40.6874192552749,-73.9748689904809,170.0,4.0,mediterranean
Mezetto,40.7228863781236,-73.9889362576721,586.0,4.0,mediterranean
Little Rascal,40.7208633,-73.9950497,218.0,4.0,mediterranean
Voula,40.73235,-74.00222,93.0,4.5,mediterranean
Miznon,40.742575,-74.006206,307.0,4.0,mediterranean
Miramar,40.70814,-74.01779,184.0,3.5,mediterranean
Zooba,40.7212932028146,-73.997309692204,44.0,4.5,mediterranean
Mazzat,40.684942,-74.003028,173.0,4.5,mediterranean
Bite,40.733163,-73.986158,608.0,4.0,mediterranean
CAVA,40.6924608,-73.9885293,51.0,4.0,mediterranean
Tanoreen,40.6308,-74.02775,818.0,4.0,mediterranean
Eva's Kitchen,40.732822,-73.997152,394.0,4.5,mediterranean
Balade - Your Way,40.7524299621582,-73.9887237548828,340.0,4.5,mediterranean
Naya Mezze & Grill,40.758541,-73.966255,501.0,4.0,mediterranean
Bustan,40.7859082,-73.9759551,493.0,4.0,mediterranean
Mint Kitchen,40.73345,-73.99301,107.0,4.5,mediterranean
