Name,Latitude,Longitude,Votes,Rating,Category,City
100% Taquito,29.7291112,-95.429681,477,4,Mexican,Houston
3 Hermanas Taqueria,29.80015841,-95.71797503,3,4.5,Mexican,Houston
3rd Coast BBQ,30.40911,-95.66276,1,5,BBQ,Houston
4 Taco,29.718045,-95.402086,3,3.5,Mexican,Houston
9 Amigos at Minute Maid Park,29.75883007,-95.35571426,2,3.5,Mexican,Houston
Abasolo Restaurant & Seafood,29.7759369,-95.3612744,15,3.5,Mexican,Houston
Abu Omar Halal,29.761043,-95.362063,4,4,Mediterranean,Houston
Al Quick Stop,29.750144,-95.396713,243,4.5,Mediterranean,Houston
Aladdin Mediterranean Cuisine,29.745032,-95.391123,1033,4.5,Mediterranean,Houston
Aladdin Mediterranean Grill - Garden Oaks,29.81668479,-95.43070279,126,4.5,Mediterranean,Houston
Alamo Tamale & Taco,29.83797,-95.3648599,129,4,Mexican,Houston
Alamo Tamale & Taco,29.75860786,-95.34676361,96,4,Mexican,Houston
Alarabi Mediterranean Grill,29.73689,-95.50739,29,4.5,Mediterranean,Houston
Alicia’s Tamale Kitchen,29.81584,-95.3614684,2,5,Mexican,Houston
Alma Latina,29.80610657,-95.4104538,219,3.5,Mexican,Houston
Alma Latina,29.83551516,-95.34241142,10,3.5,Mexican,Houston
Andy's Home Cafe,29.791,-95.3866908,147,3,Mexican,Houston
Antica Osteria,29.725282,-95.413276,313,4,Italian,Houston
Antonio's Mexican Restaurant,29.7766549,-95.3070396,3,4.5,Mexican,Houston
Antonios Mexican Grill,29.704834,-95.426843,58,3.5,Mexican,Houston
Arabella Mediterranean Cuisine,29.75772999,-95.36495984,44,4,Mediterranean,Houston
Armadillo Snow Cones,29.73507,-95.33046,7,5,Mexican,Houston
Armandos,29.74241919,-95.41975139,149,3.5,Mexican,Houston
Arnaldo Richard's Picos,29.73376465,-95.41805267,661,3.5,Mexican,Houston
Auntie Pasto's,29.7054076,-95.4749189,214,4,Italian,Houston
Azteca Taqueria,29.804412,-95.382158,5,4.5,Mexican,Houston
Azuza,29.76999,-95.403,14,3.5,Mediterranean,Houston
Bambolino's Italian Kitchen,29.74255,-95.3987,110,3.5,Italian,Houston
Baran's Cafe,29.73226245,-95.43947026,24,4.5,Mediterranean,Houston
Barbecue Inn,29.82854,-95.40036,278,4,BBQ,Houston
Bellissimo Ristorante,29.804596,-95.381574,215,4,Italian,Houston
Berryhill Baja Grill,29.79054,-95.38968,162,3,Mexican,Houston
Best Street Tacos,29.75308,-95.37717,4,4.5,Mexican,Houston
Beto's Taqueria Linares,29.71351,-95.279571,1,3,Mexican,Houston
Big 6 Bar B Que,29.6711413,-95.6433448,119,4.5,BBQ,Houston
Big Daddy Taco's,29.7295094,-95.2803879,2,4.5,Mexican,Houston
Birraporetti's,29.76224,-95.36491,382,3,Italian,Houston
Bistecca,29.744848,-95.383987,187,4.5,Italian,Houston
Black Market Burritos,29.73492,-95.37477,14,4.5,Mexican,Houston
Blanco Tacos + Tequila,29.7396,-95.465471,320,4,Mexican,Houston
Blood Bros. BBQ,29.705155,-95.475517,162,4.5,BBQ,Houston
Bodegas Taco Shop,29.723803,-95.387708,540,3.5,Mexican,Houston
BOH Pasta & Pizza,29.76176567,-95.36218101,38,4.5,Italian,Houston
Bollo Woodfired Pizza,29.7389786,-95.4134581,578,4.5,Italian,Houston
Boombox Taco,29.773064,-95.332343,40,4.5,Mexican,Houston
Bouray's Burrito Bar,29.75598559,-95.37050799,40,2.5,Mexican,Houston
Boxcar BBQ,29.8282298,-95.4253757,1,5,BBQ,Houston
Brisket Bar-B-Q,29.70638,-95.47094,58,3,BBQ,Houston
Brooklyn Meatball,29.757522,-95.365165,153,4.5,Italian,Houston
Brooklyn Meatball,29.7549739,-95.3626406,32,4.5,Italian,Houston
Brookstreet Bar-B-Que,29.74608231,-95.39144135,351,4,BBQ,Houston
Brothers Taco House,29.74513,-95.35682,358,4,Mexican,Houston
Buca di Beppo Italian Restaurant,29.7268984,-95.428406,482,3,Italian,Houston
Bullbutter Bros.,29.77064,-95.40512,2,2.5,BBQ,Houston
BullChicks Express,29.74303,-95.32511,1,5,Mexican,Houston
Bullritos,29.7544915,-95.36198,32,4,Mexican,Houston
Bullritos,29.722749,-95.33727,23,2,Mexican,Houston
Buttz,29.73606682,-95.41318512,33,4.5,BBQ,Houston
Byron's Gourmet Bar-B-Que,29.86320877,-95.44247437,3,2.5,BBQ,Houston
Cabo Baja Tacos & Burritos,29.77071,-95.4071,300,4,Mexican,Houston
Cafe Layal Midtown,29.75299,-95.37782,353,3.5,Mediterranean,Houston
Calle Onze,29.79043,-95.39974,348,4,Mexican,Houston
Candelari's Pizzeria,29.705848,-95.419186,221,3.5,Italian,Houston
Cane Rosso,29.80259093,-95.41047055,384,3.5,Italian,Houston
Cantina Barba,29.79085,-95.37339,128,4.5,Mexican,Houston
Caracol,29.74336332,-95.46132159,1056,4,Mexican,Houston
Caritas Ranch Bar-B-Q,29.77391387,-95.36579132,2,4.5,BBQ,Houston
Carniceria Aguascalientes,29.70036,-95.27753,107,4.5,Mexican,Houston
Carnitas Gerardo's,29.859089,-95.350807,1,4,Mexican,Houston
Carnitas Huandacareo,29.87861061,-95.67259216,3,5,Mexican,Houston
Carrabba's - The Original on Kirby,29.73648816,-95.4183509,449,4,Italian,Houston
Casa Dominguez Bellaire,29.70669,-95.4715499,17,3,Mexican,Houston
Casa Morales,29.7368,-95.28797,20,4,Mexican,Houston
Casa Ole,29.8266907,-95.4718094,1,1,Mexican,Houston
Cats Corner BBQ,29.72397633,-95.35108464,2,3.5,BBQ,Houston
Cavatore Italian Restaurant,29.8052,-95.42883,343,3.5,Italian,Houston
Chacho's,29.845196,-95.391583,130,3,Mexican,Houston
Chapman House Smoked Meats,29.8098267,-95.3992151,1,5,BBQ,Houston
Chapultepec Lupita,29.73436,-95.38932,281,3.5,Mexican,Houston
Charlie's BBQ & Hamburgers,29.7099973,-95.4630112,74,4,BBQ,Houston
Charlie's BBQ & Salads,29.755775,-95.363926,29,3.5,BBQ,Houston
Chatter's Cafe & Bistro,29.768131,-95.397368,168,3.5,Mediterranean,Houston
Chef On The Run Halal,29.69337565,-95.41562596,118,4.5,Mediterranean,Houston
Chilosos Taco House,29.804184,-95.390791,380,3.5,Mexican,Houston
Chipotle Mexican Grill,29.70976298,-95.401123,91,3.5,Mexican,Houston
Chipotle Mexican Grill,29.77467297,-95.397916,90,3,Mexican,Houston
Chipotle Mexican Grill,29.76027331,-95.36260163,50,3,Mexican,Houston
Chipotle Mexican Grill,29.74707676,-95.410282,86,3.5,Mexican,Houston
Chipotle Mexican Grill,29.74631541,-95.37628624,107,2.5,Mexican,Houston
Chipotle Mexican Grill,29.721904,-95.418984,73,3.5,Mexican,Houston
Chipotle Mexican Grill,29.73201093,-95.466318,106,3,Mexican,Houston
Chipotle Mexican Grill,29.691094,-95.415728,118,2.5,Mexican,Houston
Chipotle Mexican Grill,29.7322553,-95.4390661,66,2.5,Mexican,Houston
Chipotle Mexican Grill,29.81892994,-95.46688621,13,4,Mexican,Houston
Chipotle Mexican Grill,29.812037,-95.422215,72,2.5,Mexican,Houston
Chipotle Mexican Grill,29.739553,-95.462719,20,2,Mexican,Houston
Choice Cafeteria,29.77987,-95.45613,19,4.5,BBQ,Houston
Chuy's,29.742689,-95.420446,701,3.5,Mexican,Houston
Cicis,29.69630289,-95.29722425,12,2.5,Italian,Houston
Cielito Cafe,29.748475,-95.401941,195,4.5,Mexican,Houston
Cilantro's Fresh Mexican Kitchen,29.7327935,-95.4359142,14,3.5,Mexican,Houston
Coffee-Q,29.73319874,-95.42318556,83,4.5,BBQ,Houston
Collina's Italian Cafe,29.73234338,-95.43973446,228,3.5,Italian,Houston
Collina's Italian Cafe,29.8026951,-95.4061526,219,3,Italian,Houston
Colonel Eats: Gourmet Street Food,29.735549,-95.424696,5,4.5,BBQ,Houston
Coltivare,29.7817,-95.39371,831,4,Italian,Houston
Colwell's BBQ/Soul Food and More,29.846,-95.34244,10,4,BBQ,Houston
Connie's Seafood,29.81088,-95.38235,169,4,Mexican,Houston
Copa Coffee And Food,29.76246065,-95.37583202,7,4.5,Mexican,Houston
Coppa Osteria,29.7189381,-95.4149874,467,3.5,Italian,Houston
Coreanos,29.7497264,-95.3772903,387,4,Mexican,Houston
Corelli's Italian Cafe,29.7380757,-95.4752726,117,4,Italian,Houston
Corleone,29.76921,-95.40224,1,3,Italian,Houston
Crisp,29.80628395,-95.42208862,855,4,Italian,Houston
Cuchara,29.748418,-95.385446,696,3.5,Mexican,Houston
Cueva,29.754551,-95.3582,4,3.5,Mediterranean,Houston
Cyclone Anaya's Mexican Kitchen,29.7524247,-95.3772482,631,3,Mexican,Houston
Cyclone Anaya's Mexican Kitchen,29.7188917,-95.4149864,212,3.5,Mexican,Houston
Cyclone Anaya's Mexican Kitchen,29.775767,-95.410429,402,3.5,Mexican,Houston
D'Amico's Italian Market Cafe,29.71598,-95.4153504,367,4,Italian,Houston
Da Marco,29.74313,-95.397814,324,4,Italian,Houston
Damian's Cucina Italiana,29.74437,-95.3797,214,4,Italian,Houston
David Alcorta Catering,29.810633,-95.4769029,3,5,Mexican,Houston
Delia's Main Street Tacos,29.75744,-95.36518,2,2.5,Mexican,Houston
Demeris Bar-B-Q,29.8005874,-95.4482664,150,3.5,BBQ,Houston
Demeris Bar-B-Q,29.73941,-95.4105,181,3.5,BBQ,Houston
Dichos Taqueria,29.73294349,-95.3085252,55,4.5,Mexican,Houston
Dickey's Barbecue Pit,29.8481747,-95.3083416,3,2,BBQ,Houston
Dimassi's Mediterranean Buffet,29.73261127,-95.46596546,113,4,Mediterranean,Houston
Dimassi's Mediterranean Kitchen,29.75833208,-95.36573066,16,3.5,Mediterranean,Houston
Divino,29.738854,-95.405942,85,4,Italian,Houston
Dolce Vita,29.744775,-95.38742,711,4,Italian,Houston
Don Carlo's Restaurant,29.670194,-95.276229,46,3.5,Mexican,Houston
Don Carlos Mexican Restaurants,29.73421,-95.28901,52,3.5,Mexican,Houston
Don Chile Mexican Restaurant,29.77706337,-95.28374481,42,4,Mexican,Houston
Don Jose Mexican Restaurant,29.841245,-95.473974,95,3.5,Mexican,Houston
Don Luis Mexican Restaurant,29.830394,-95.360969,4,4.5,Mexican,Houston
Don Pablito's,29.81977698,-95.4586788,29,3.5,Mexican,Houston
Don Rey Mexican Restaurant #2,29.77433,-95.24561,24,3.5,Mexican,Houston
Don Teo's Mexican Restaurant,29.81759262,-95.4360733,58,3.5,Mexican,Houston
Dona Chela,29.687978,-95.278148,26,4,Mexican,Houston
Dona Chela Restaurant,29.73911,-95.28693,11,3.5,Mexican,Houston
Dona Maria,29.75787,-95.34309,117,4.5,Mexican,Houston
Doneraki Restaurants,29.69965512,-95.29416091,163,2.5,Mexican,Houston
Doris Metropolitan,29.740215,-95.410475,199,4.5,Mediterranean,Houston
Eado food and drink,29.75186168,-95.35468597,3,1,Mexican,Houston
Eaker Barbecue,29.66908,-95.50418,16,4.5,BBQ,Houston
Eddie O’s BBQ,29.80343,-95.37582,4,3.5,BBQ,Houston
Edo's Cafe On the Park,29.7477684,-95.45178223,9,3,Italian,Houston
Eight Row Flint,29.79033,-95.39928,332,3.5,Mexican,Houston
El Big Bad,29.76127625,-95.36266588,608,3,Mexican,Houston
El Burro & the Bull,29.7418707,-95.3209928,88,4,BBQ,Houston
El Burro & the Bull,29.7418707,-95.3209928,88,4,Mexican,Houston
El Charrito Mexican Resturant,29.8625334,-95.3639386,4,4.5,Mexican,Houston
El Charro Mexican Bar & Grill,29.74662,-95.33799,52,3.5,Mexican,Houston
El Dorado Taco,29.7931,-95.25816,6,4.5,Mexican,Houston
El Hidalguense,29.802575,-95.470525,74,3.5,Mexican,Houston
El Huevo Mexicano,29.85003017,-95.30113883,1,1,Mexican,Houston
El Huizache Taco,29.813896,-95.45884,1,5,Mexican,Houston
El Jardin Restaurant,29.73048,-95.28427,77,3.5,Mexican,Houston
El Kiosko,29.729722,-95.310352,3,3.5,Mexican,Houston
El Manna Grill Pollo Asado,29.86388,-95.38508,7,4.5,Mexican,Houston
El Mariachi,29.858567,-95.472837,5,2.5,Mexican,Houston
El Mesquite,29.7235531,-95.2787601,6,5,Mexican,Houston
El Mirador Mexican Restaurant,29.74145,-95.30647,9,3.5,Mexican,Houston
El Muelle Seafood,29.8599,-95.38505,15,3.5,Mexican,Houston
El Novillo Restaurant,29.776442,-95.361137,4,5,Mexican,Houston
El Otro Jalisco,29.85852,-95.47289,3,4.5,Mexican,Houston
El Paraiso Mexican Restaurant,29.74825668,-95.38989258,107,4,Mexican,Houston
El Patron Mexican Food,29.78718,-95.29521,2,5,Mexican,Houston
El Penjamo,29.77622223,-95.30886078,7,3.5,Mexican,Houston
El Pollo Loco,29.78835984,-95.46753838,52,3,Mexican,Houston
El Pollo Loco,29.81537,-95.42908,46,3.5,Mexican,Houston
El Pollo Loco,29.7241449,-95.4680051,70,3,Mexican,Houston
El Pueblito Place,29.734281,-95.398634,266,3,Mexican,Houston
El Ranchero Mexican Restaurant & Cantina,29.67834031,-95.47724247,4,4,Mexican,Houston
El Rey del Tacorriendo,29.71395246,-95.31769526,7,3.5,Mexican,Houston
El Rey Meat Market,29.80952509,-95.38158316,8,4,Mexican,Houston
El Rey Taqueria,29.77031235,-95.40927988,611,4,Mexican,Houston
El Rey Taqueria,29.8124851,-95.4001992,59,3,Mexican,Houston
El Segundo,29.76212,-95.36121,9,3,Mexican,Houston
El Taco Man,29.80480366,-95.37857377,13,5,Mexican,Houston
EL TACO NATO,29.8384904,-95.4744839,1,5,Mexican,Houston
El Taconazo,29.79624,-95.36723,189,4.5,Mexican,Houston
El Taquito Rico,29.79669,-95.38126,3,3.5,Mexican,Houston
El Tenampa,29.83289,-95.37562,1,4,Mexican,Houston
El Tiempo Cantina - Navigation,29.75631,-95.34151,333,4,Mexican,Houston
El Tiempo Cantina- Richmond,29.7342285,-95.4257327,731,4,Mexican,Houston
El Tiempo Cantina- Washington,29.7709916,-95.4189711,585,4,Mexican,Houston
El Tiempo Cantina- Westheimer,29.745045,-95.38576,286,3.5,Mexican,Houston
El Tiempo Taqueria,29.771195,-95.418328,69,4,Mexican,Houston
El Topo,29.7180233,-95.42444611,30,4,Mexican,Houston
El Trompo Loco,29.76645,-95.24703,3,3.5,Mexican,Houston
Enoteca Rossa,29.7144304,-95.4548667,178,4,Italian,Houston
Escalante's Fine Tex-Mex & Tequila,29.68873318,-95.46003159,214,3.5,Mexican,Houston
Fadi's Eatery,29.72173,-95.38244,63,4.5,Mediterranean,Houston
Fadi's Meyerland Mediterranean Grill,29.6894149,-95.4600067,649,4.5,Mediterranean,Houston
Fainmous BBQ,29.66818,-95.4637,287,4,BBQ,Houston
Fajita Ciesta,29.7059027,-95.5395595,1,3,Mexican,Houston
Fajita Pete's - Bellaire,29.706874,-95.4408008,166,4,Mexican,Houston
Fajita Pete's - Rice Military,29.76171,-95.41945,9,4,Mexican,Houston
Fajitas A Go Go,29.72378212,-95.41896209,326,4,Mexican,Houston
Fajitas TO-GO & Delivery,29.67534028,-95.42919338,4,3.5,Mexican,Houston
Farr Better BBQ and Catering,29.67730125,-95.33685397,1,3,BBQ,Houston
Feges BBQ,29.731634,-95.431233,57,4,BBQ,Houston
Fellini Caffè,29.71874338,-95.4166179,403,4,Italian,Houston
Fiesta En Guadalajara,29.79300308,-95.36058044,84,3,Mexican,Houston
Fig & Olive - Houston,29.7396908,-95.4652897,268,4,Mediterranean,Houston
Filipin Tex,29.916576,-95.634952,3,5,BBQ,Houston
Food Music Life,29.73447,-95.42394,10,3.5,Italian,Houston
Four Corners Taqueria at the Ice Barn,29.66345,-95.65967,2,5,Mexican,Houston
Freebirds World Burrito,29.77545508,-95.38265437,124,3.5,Mexican,Houston
Freebirds World Burrito,29.73280687,-95.41268438,202,3.5,Mexican,Houston
Freebirds World Burrito,29.69196729,-95.41225791,135,3.5,Mexican,Houston
Fresco Cafe Italiano,29.7287263,-95.43161175,176,4.5,Italian,Houston
Fresh Choice Cafe,29.747445,-95.45753,9,4,Mediterranean,Houston
Fresh Choice Cafe,29.71168,-95.4615199,5,2,Mediterranean,Houston
Fusion Eats,29.73211117,-95.43462458,66,4,Mexican,Houston
Fusion Taco Canteen & Cocktails,29.7981309,-95.3823537,173,4,Mexican,Houston
Fuzzy's Pizza & Cafe,29.7814621,-95.4756749,176,3,Italian,Houston
Fuzzy's Pizza & Sport Cafe,29.70426,-95.47318,24,4,Italian,Houston
Fuzzy's Taco Shop,29.671108,-95.4612897,132,3,Mexican,Houston
Gabby's BBQ,29.815448,-95.410925,159,3,BBQ,Houston
Garay Mexican Grill,29.84706,-95.38498,24,2,Mexican,Houston
Garibaldy's Restaurant,29.79821444,-95.36297771,2,2,Mexican,Houston
Gatlin's BBQ,29.82041651,-95.42906758,658,3.5,BBQ,Houston
Gen Korean BBQ House,29.742687,-95.379709,97,4,BBQ,Houston
George's Italian Pizzaria,29.68478071,-95.29403265,29,3.5,Italian,Houston
George's Pizza & Italian Cuisine,29.68469683,-95.29401656,38,4,Italian,Houston
Giacomo's Cibo e Vino,29.742032,-95.423718,511,4,Italian,Houston
Gita's Cafe,29.74995,-95.33397,5,5,Mexican,Houston
Goode Co. Taqueria,29.75887,-95.36381,5,3.5,Mexican,Houston
Goode Company Barbeque,29.72703516,-95.41841101,1117,3.5,BBQ,Houston
Goodnight Charlie's,29.74332216,-95.40030733,70,4,Mexican,Houston
Gorditas Aguascalientes,29.795108,-95.3606754,100,3.5,Mexican,Houston
Grappino Di Nino,29.75723868,-95.39542173,54,3.5,Italian,Houston
Grotto Downtown,29.7539178,-95.3571966,323,4,Italian,Houston
Grotto Ristorante,29.740495,-95.456781,314,3.5,Italian,Houston
Guadalajara Del Centro,29.75403668,-95.36445469,440,3.5,Mexican,Houston
Guadalajara Mexican Grille & Bar,29.72957,-95.4236899,373,4,Mexican,Houston
Guadalajara's Deli,29.81586389,-95.3614847,3,4.5,Mexican,Houston
Gugliani's,29.68961731,-95.46524349,128,3.5,Italian,Houston
Gusto Gourmet,29.7362906,-95.4108062,281,4.5,Mediterranean,Houston
Gyro Hut,29.69939,-95.3857,220,4.5,Mediterranean,Houston
Gyroland,29.75537355,-95.36982719,6,2.5,Mediterranean,Houston
Gyu-Kaku Japanese BBQ,29.75059178,-95.37536224,1345,4,BBQ,Houston
Habaneros Mex Grill,29.74681,-95.46711,5,2.5,Mexican,Houston
Hacienda La Esperanza,29.8451519,-95.37649536,5,3.5,Mexican,Houston
Happy Plate Express,29.75712,-95.36442,1,4,BBQ,Houston
Harris County General Store Barbecue,29.74703,-95.30759,15,5,BBQ,Houston
Henderson & Kane,29.76597,-95.37954,56,5,BBQ,Houston
Herrera's Cafe,29.77817,-95.35448,7,4.5,Mexican,Houston
Hickory Pit BBQ,29.70757675,-95.46759033,35,2.5,BBQ,Houston
Hidalgo Taqueria,29.79350955,-95.36132567,8,4.5,Mexican,Houston
Homestyle Restaurant,29.7022201,-95.34927864,7,4,BBQ,Houston
Hoot's Smokehouse,29.73514321,-95.28689012,29,4.5,BBQ,Houston
House of Blues Restaurant & Bar,29.7538392,-95.3637491,80,3.5,BBQ,Houston
Houston Bakery & Cafe,29.7841148,-95.361062,10,3.5,Mexican,Houston
Hugo's,29.74317,-95.39977,1266,4,Mexican,Houston
Hungry Farmer Barbeque,29.82807,-95.37868,104,3.5,BBQ,Houston
Hungry's,29.71784,-95.41363,715,3.5,Mediterranean,Houston
I & J’s Krazy Kitchen,29.79705154,-95.27104312,1,5,Mexican,Houston
Ike's BBQ,29.7102324,-95.3311102,3,4.5,BBQ,Houston
Indio's Mexican Restraunt,29.85326,-95.339363,12,2.5,Mexican,Houston
Indio's Taco House,29.8150597,-95.3615112,20,2.5,Mexican,Houston
Irma's Southwest,29.7575897,-95.3583054,324,4,Mexican,Houston
Island Grill,29.71708444,-95.41423759,85,4,Mediterranean,Houston
Island Grill,29.70674397,-95.44210832,126,4,Mediterranean,Houston
Istanbul Grill,29.71566,-95.41463,513,4,Mediterranean,Houston
J.R.’s Taqueria,29.77348,-95.315,5,4,Mexican,Houston
Jack in the Box,29.75557696,-95.33539653,21,1.5,Mexican,Houston
Jack in the Box,29.77007294,-95.40975952,46,2,Mexican,Houston
Jack in the Box,29.743687,-95.3916141,52,1.5,Mexican,Houston
Jack in the Box,29.68583794,-95.2910172,11,1.5,Mexican,Houston
Jack in the Box,29.733287,-95.381985,35,2,Mexican,Houston
Jack in the Box,29.70230397,-95.3645752,18,3,Mexican,Houston
Jack in the Box,29.7345199,-95.32929987,3,2.5,Mexican,Houston
Jack in the Box,29.757758,-95.39852787,22,1.5,Mexican,Houston
Jack in the Box,29.7323861,-95.2904403,8,2.5,Mexican,Houston
Jack in the Box,29.7782417,-95.2925075,9,2.5,Mexican,Houston
Jack in the Box,29.71688046,-95.476921,10,2.5,Mexican,Houston
Jack in the Box,29.73442208,-95.4266443,21,2,Mexican,Houston
Jack in the Box,29.82801,-95.37661,13,2,Mexican,Houston
Jack in the Box,29.85032,-95.26192,10,2.5,Mexican,Houston
Jack in the Box,29.81346105,-95.38324977,10,1.5,Mexican,Houston
Jack in the Box,29.7471595,-95.4556468,33,2,Mexican,Houston
Jack in the Box,29.71495281,-95.3163158,3,2.5,Mexican,Houston
Jack in the Box,29.84648112,-95.342642,3,1.5,Mexican,Houston
Jack in the Box,29.74491159,-95.30343,6,1.5,Mexican,Houston
Jack in the Box,29.7833,-95.46766,21,2.5,Mexican,Houston
Jack in the Box,29.69045275,-95.41681498,19,2,Mexican,Houston
Jack in the Box,29.67097029,-95.4627867,15,2.5,Mexican,Houston
Jack in the Box,29.8018869,-95.42962924,8,2,Mexican,Houston
Jack in the Box,29.70629716,-95.4396764,11,1.5,Mexican,Houston
Jack in the Box,29.6929492,-95.32189831,11,1.5,Mexican,Houston
Jack in the Box,29.84815731,-95.30182466,12,2.5,Mexican,Houston
Jack in the Box,29.82002443,-95.45911501,11,1.5,Mexican,Houston
Jack in the Box,29.72242908,-95.46774074,14,2.5,Mexican,Houston
Jack in the Box,29.8445049,-95.4106418,6,2,Mexican,Houston
Jack in the Box,29.67651679,-95.2660563,7,1.5,Mexican,Houston
Jack in the Box,29.8642,-95.38528,4,2,Mexican,Houston
Jack in the Box,29.84134,-95.47286,10,1,Mexican,Houston
Jack in the Box,29.66673797,-95.3365177,13,1,Mexican,Houston
Jackson Street BBQ,29.75886363,-95.35437854,438,4,BBQ,Houston
Jalisco's Street Taco's,29.86576,-95.66949,2,5,Mexican,Houston
Jarro Cafe,29.77147,-95.60389,45,4.5,Mexican,Houston
Juanita's Mexican Restaurant,29.8099112,-95.4427441,207,3.5,Mexican,Houston
Just Falafel,29.75794607,-95.37103311,49,4,Mediterranean,Houston
Kata Wit' Flava,,,1,1,BBQ,Houston
Kathrina's Cafe Roma III,29.705711,-95.403541,2,2,Italian,Houston
Kenz,29.74173321,-95.46294192,14,4,Mediterranean,Houston
Kenz,29.74173321,-95.46294192,14,4,Mexican,Houston
Khoi Barbecue,29.74469948,-95.3861084,5,5,BBQ,Houston
Khronchy's,29.74904,-95.3760099,2,5,Mexican,Houston
L&L Hawaiian Barbecue,29.77461,-95.398,25,4.5,BBQ,Houston
La Calle Tacos,29.7634663,-95.36069019,556,4,Mexican,Houston
La Carreta Mexican Restaurant,29.80382347,-95.39634705,32,3.5,Mexican,Houston
La Casa Bakery & Cafe,29.7771,-95.35817,43,5,Mexican,Houston
La Casa Del Cabrito,29.68712,-95.28008,6,4,Mexican,Houston
La Casita Mexican Products,29.738445,-95.297462,15,5,Mexican,Houston
La Conguita Taqueria,29.740897,-95.288957,4,5,Mexican,Houston
La Dolce Vita Cafe,29.75659,-95.36845,21,3,Italian,Houston
La Fendee Mediterranean Grill,29.743457,-95.396209,247,4,Mediterranean,Houston
La Fisheria,29.76347271,-95.36215438,525,4,Mexican,Houston
La Fondita Michoacan,29.78918,-95.40955,40,4.5,Mexican,Houston
La Fresca Pizza,29.7076867,-95.4180686,153,4,Italian,Houston
La Frontera Taqueria,29.81063843,-95.47690582,4,5,Mexican,Houston
La Grange,29.7434907,-95.4011294,350,3.5,Mexican,Houston
La Griglia,29.75356,-95.40889,350,4,Italian,Houston
La Guadalupana Bakery & Café,29.74687,-95.40188,545,4,Mexican,Houston
La Hacienda,29.810101,-95.425575,158,3,Mexican,Houston
La India Bakery,29.77926,-95.41986,15,4,Mexican,Houston
La Mexicana,29.74836,-95.3917,362,3,Mexican,Houston
La michoacana,29.7193565,-95.4766617,7,3.5,Mexican,Houston
La Michoacana,29.6829184,-95.4398855,22,3,Mexican,Houston
La Palapa Downtown,29.7607392,-95.3603133,29,4,Mexican,Houston
La Poblana Mexican Kitchen,29.72303965,-95.47666378,13,4,Mexican,Houston
La Reyna Tortilleria - Irvington,29.79549,-95.36128,9,4.5,Mexican,Houston
La Reynera Bakery,29.74199,-95.33704,41,4.5,Mexican,Houston
La Rosa Blanca,29.809481,-95.3815205,13,4.5,Mexican,Houston
La Table,29.74734785,-95.46165831,265,4,Mediterranean,Houston
La Tapatia,29.73398776,-95.40417895,358,3.5,Mexican,Houston
La Tapatia,29.77975,-95.36368,4,3,Mexican,Houston
La Tapatia Taqueria,29.73078711,-95.47630639,153,3,Mexican,Houston
La Taqueria Houston,29.8141239,-95.4503992,1,3,Mexican,Houston
La Vibra Tacos,29.779766,-95.3985646,121,4,Mexican,Houston
La Victoria Bakery,29.71711,-95.2925999,22,3,Mexican,Houston
La Vista Tortas & Mas,29.80555,-95.45943,19,3.5,Mexican,Houston
LaMacro,29.79955,-95.37247,33,4,Mexican,Houston
Laredo Taqueria,29.77011,-95.4051,513,4,Mexican,Houston
Laredo Taqueria,29.82236,-95.36095,16,4.5,Mexican,Houston
Laredo Taqueria,29.804176,-95.371064,70,4,Mexican,Houston
Las Chenchas,29.887391,-95.393401,4,5,Mexican,Houston
Las Fuentes Taqueria,29.84494,-95.38834,11,4.5,Mexican,Houston
Liberty Taco,29.73258935,-95.45600004,656,4.5,Mexican,Houston
Liberty Taco,29.69414,-95.41223,21,3.5,Mexican,Houston
Lime and Mint,29.7494815,-95.4610751,2,4.5,Mediterranean,Houston
litbbqco,29.74963,-95.37735,1,5,BBQ,Houston
Little Casita Mexican Restaurant,29.839566,-95.473937,25,4,Mexican,Houston
Little Napoli Italian Cuisine,29.7627097,-95.3673287,317,2.5,Italian,Houston
Lone Star Taco,29.76001332,-95.3623157,160,3.5,Mexican,Houston
Los 3 Guerreros,29.7168,-95.29664,1,4,Mexican,Houston
Los Charros,29.733412,-95.32914,22,3.5,Mexican,Houston
Los Corrales Taqueria,29.74071,-95.28809,9,4.5,Mexican,Houston
Los Cucos Mexican Cafe,29.814434,-95.462292,100,3,Mexican,Houston
Los Dos Hermanos,29.8393734,-95.4110049,5,5,Mexican,Houston
Los Dos Hermanos Mexican Restaurant,29.83979,-95.41141,15,4.5,Mexican,Houston
Los Jacales Restaurant,29.77673531,-95.31028748,16,3,Mexican,Houston
Los Meros Tacos  Y Su Trompo Tribalero,29.92515,-95.49706,54,4.5,Mexican,Houston
Los Nopalitos,29.81951505,-95.46002001,14,4,Mexican,Houston
Los Parados,29.8510551,-95.71914889,2,2.5,Mexican,Houston
Los Tacos,29.83072,-95.68466,35,4.5,Mexican,Houston
Los Tios - San Felipe,29.74921,-95.46599,45,4,Mexican,Houston
Los Tios Meyerland,29.6893949,-95.46334,149,3,Mexican,Houston
Luchi & Joey's,29.75773,-95.36496,16,4,Mexican,Houston
Luchi & Joey's Food Truck,29.7577445,-95.3649578,13,3.5,Mexican,Houston
Lucienne,29.75512464,-95.3660582,65,4,Mediterranean,Houston
