Name,Latitude,Longitude,Votes,Rating
North Italia,29.7485868638914,-95.4620253208921,1515.0,4.0
Grotto Downtown,29.7539178,-95.3571966,323.0,4.0
Postino Montrose,29.74651,-95.39033,62.0,4.5
Coltivare,29.7817,-95.39371,831.0,4.0
Crisp,29.8062839508057,-95.4220886230469,855.0,4.0
Bollo Woodfired Pizza,29.7389786,-95.4134581,578.0,4.5
Osso & Kristalla,29.7574509,-95.3579026,242.0,4.0
Potente,29.7572378866031,-95.3574474900742,204.0,4.5
Riva's Italian Restaurant,29.74605,-95.39248,516.0,4.0
Roma,29.7149,-95.41475,73.0,4.0
Perbacco,29.760168,-95.365059,167.0,4.0
Giacomo's Cibo e Vino,29.742032,-95.423718,511.0,4.0
Bistecca,29.744848,-95.383987,187.0,4.5
D'Amico's Italian Market Cafe,29.71598,-95.4153504,367.0,4.0
Da Marco,29.74313,-95.397814,324.0,4.0
Dolce Vita,29.744775,-95.38742,711.0,4.0
Mia Bella Trattoria,29.7534684960069,-95.3641167312134,279.0,4.0
Rocco's,29.79333,-95.35928,57.0,4.5
Patrenella's,29.76912,-95.4021,347.0,4.0
Warehouse 72,29.785959,-95.465455,86.0,4.0
BOH Pasta & Pizza,29.7617656683504,-95.3621810104161,38.0,4.5
Sorrento Ristorante Italiano,29.7444128,-95.3867141,306.0,4.0
Postino Heights,29.78306,-95.3985299,401.0,4.0
La Griglia,29.75356,-95.40889,350.0,4.0
Vinoteca Poscol,29.74476,-95.3893499,119.0,4.0
Piola,29.74287233551,-95.3798845184326,586.0,4.0
Mandola's Deli,29.73764,-95.33956,271.0,4.5
Antica Osteria,29.725282,-95.413276,313.0,4.0
Maggiano's Little Italy,29.74507,-95.460509,634.0,3.5
Damian's Cucina Italiana,29.74437,-95.3797,214.0,4.0
Paulie's,29.7428749,-95.4064275,781.0,4.0
Cane Rosso,29.8025909301009,-95.4104705527425,384.0,3.5
Carrabba's - The Original on Kirby,29.7364881579311,-95.4183509045328,449.0,4.0
Your Pie,29.7522964518359,-95.3684243165043,254.0,4.5
Rosalie Italian Soul,29.7579561439064,-95.3711798787117,15.0,3.5
Mia Bella Trattoria,29.7323697055943,-95.4381511442779,361.0,4.5
Bellissimo Ristorante,29.804596,-95.381574,215.0,4.0
Cavatore Italian Restaurant,29.8052,-95.42883,343.0,3.5
Mina Ristorante,29.7381940494014,-95.4363139242039,16.0,4.0
Coppa Osteria,29.7189381,-95.4149874,467.0,3.5
Spaghetti Western Italian Cafe,29.775061,-95.409362,276.0,4.0
Piada Italian Street Food,29.76099,-95.42052,366.0,4.0
Divino,29.738854,-95.405942,85.0,4.0
Buca di Beppo Italian Restaurant,29.7268984,-95.428406,482.0,3.0
Fresco Cafe Italiano,29.7287262957213,-95.4316117488783,176.0,4.5
Grotto Ristorante,29.740495,-95.456781,314.0,3.5
Pizzeria Solario,29.7347932634449,-95.4411491633683,293.0,4.0
Piatto Ristorante,29.737821,-95.459841,122.0,4.0
Nino's,29.757238682246,-95.3954217327958,127.0,3.5
Romano's Pizza,29.7544062271704,-95.4004679195084,420.0,4.0
Marchese's Take-Home Kitchen,29.8409739831322,-95.4192708805203,25.0,5.0
Brooklyn Meatball,29.757522,-95.365165,153.0,4.5
Star Pizza,29.7700571,-95.3961846,437.0,3.5
Vincent's Restaurant,29.7572382989492,-95.395042765765,173.0,3.5
Corelli's Italian Cafe,29.7380757,-95.4752726,117.0,4.0
Nundini Chef's Table,29.78044,-95.40868,273.0,3.5
Little Napoli Italian Cuisine,29.7627097,-95.3673287,317.0,2.5
Napoli Wine Cafe,29.770219,-95.407797,5.0,4.0
Quattro Restaurant,29.75401,-95.36277,196.0,4.0
Birraporetti's,29.76224,-95.36491,382.0,3.0
Spaghetti Western,29.802631210278,-95.4327419183379,92.0,3.5
Prima Pasta,29.7054576873779,-95.4179534912109,192.0,3.5
Olive Garden Italian Restaurant,29.729419,-95.425071,162.0,3.0
Prego,29.7160143601348,-95.4175163136998,266.0,3.5
Mona Fresh Italian Food -Downtown,29.759444,-95.3648084,10.0,3.5
Candelari's Pizzeria,29.705848,-95.419186,221.0,3.5
Brooklyn Meatball,29.7549739,-95.3626406,32.0,4.5
Enoteca Rossa,29.7144304,-95.4548667,178.0,4.0
George's Pizza & Italian Cuisine,29.684696826131,-95.2940165599106,38.0,4.0
La Fresca Pizza,29.7076867,-95.4180686,153.0,4.0
Fellini Caffè,29.718743376273,-95.4166178981476,403.0,4.0
Collina's Italian Cafe,29.7323433828409,-95.4397344589233,228.0,3.5
Russo's New York Pizzeria,29.75198,-95.37711,236.0,3.0
Ristorante Cavour,29.757721,-95.45835,46.0,3.5
Collina's Italian Cafe,29.8026951,-95.4061526,219.0,3.0
Nick's Grill,29.8092959237297,-95.4585531318746,97.0,3.5
Russo's New York Pizzeria,29.7857075114367,-95.4656290997528,122.0,3.5
Auntie Pasto's,29.7054076,-95.4749189,214.0,4.0
Russo's New York Pizzeria,29.6890166,-95.4130874,142.0,3.5
Gugliani's,29.6896173133713,-95.4652434911208,128.0,3.5
