Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Kathy's Country Kitchen
                                    "," 23115 Hwy 36, Damon 77430",Cuisines: ,,Cost for two:$25,,,American,Houston
"Juanito's Mexican Restaurant
                                    "," 2536 S Grand Boulevard, Pearland 77581",25 votes,3.7,Cost for two:$25,,,American,Houston
"House of Fries
                                    "," 5322 Antoine Drive, Houston 77091",18 votes,3.6,Cost for two:$25,,,American,Houston
"Best Burger
                                    "," 2203 S Main St, Stafford 77477",18 votes,3.9,Cost for two:$25,,,American,Houston
"Someburger Hamburgers
                                    "," 900 Decker Dr, Baytown 77520",21 votes,3.7,Cost for two:$25,,,American,Houston
"Mom's Kountry Cafe
                                    ", 226 Dell Dale Street 77530,16 votes,3.6,Cost for two:$25,,,American,Houston
"Charlie's BBQ
                                    "," 8222 Airline Drive, Houston 77037",19 votes,3.9,Cost for two:$75,,,American,Houston
"Busy Bee Cafe
                                    "," 4009 Broadway Street, Pearland 77581",21 votes,3.3,Cost for two:$25,,,American,Houston
"5.ATE Cafe
                                    ", 403 East Louetta Road 77373,10 votes,3.3,Cost for two:$25,,,American,Houston
"Ellen's Cafe
                                    ", 307 Gentry Street 77373,25 votes,3.5,Cost for two:$25,,,American,Houston
"Whataburger
                                    ", 30330 FM 2978 Road 77354,23 votes,3.7,Cost for two:$15,,,American,Houston
"Triple J's Smokehouse
                                    ", 6715 Homestead Road 77028,12 votes,3.7,Cost for two:$25,,,American,Houston
"Chulas Sports Cantina
                                    "," 12008 E Fwy, Houston 77029",13 votes,3.3,Cost for two:$25,,,American,Houston
"Island Grill
                                    ", 4024 Bellaire Boulevard 77025,22 votes,3.6,Cost for two:$25,,,American,Houston
"Snappy's Cafe & Grill
                                    "," 5803 Highway Boulevard, Katy 77494",22 votes,3.5,Cost for two:$25,,,American,Houston
"Papagrella's
                                    "," 5740 S Wayside Dr, Houston 77087",Cuisines: ,,Cost for two:$25,,,American,Houston
"Cajun New Orleans Kitchen
                                    "," 7105 W Fuqua Dr, Missouri City 77489",Cuisines: ,,Cost for two:$25,,,American,Houston
"Allison's Soul Food & Bar Bq
                                    "," 8429 Scott St, Houston 77051",Cuisines: ,,Cost for two:$25,,,American,Houston
"Arcola
                                    "," 13811 Hwy 6, Rosharon 77583",Cuisines: ,,Cost for two:$25,,,American,Houston
"El Mariachi Loco
                                    "," 51 W Main St, Humble 77338",2 votes,3.3,Cost for two:$25,,,American,Houston
"Basil's
                                    "," 15700 John F. Kennedy Blvd (Sheraton Hotel), Houston 77032",2 votes,3,Cost for two:$75,,,American,Houston
"Cajun's Fried Turkeys
                                    "," 14507 S Post Oak Rd, Houston 77045",Cuisines: ,,Cost for two:$25,,,American,Houston
"Malt N Burger
                                    ", 25330 W Highway 6 77511,Cuisines: ,,Cost for two:$25,,,American,Houston
"Dixie Maid
                                    "," 6800 Lyons Ave, Houston 77020",Cuisines: ,,Cost for two:$75,,,American,Houston
"Joy Love Burgers
                                    "," 22625 Tomball Parkway Suite 830, Tomball, TX 77375, USA",Cuisines: ,,Cost for two:$15,,,American,Houston
"Grille Works
                                    "," 1 Main Street, Houston 77002",Cuisines: ,,Cost for two:$20,,,American,Houston
"E J's Malt 'n' Burger
                                    "," 10309 Market St Rd, Houston 77029",Cuisines: ,,Cost for two:$25,,,American,Houston
"Burks Home Cooking
                                    "," 3204 Lyons Ave, Houston 77020",Cuisines: ,,Cost for two:$25,,,American,Houston
"Veritas Steak and Seafood
                                    ", 1550 Lake Pointe Parkway 77478,Cuisines: ,,Cost for two:$275,,,American,Houston
"Chef Kim's Cafe
                                    "," 10701 Corporate Dr, Stafford 77477",0 votes,3.3,Cost for two:$25,,,American,Houston
"Whataburger
                                    ", 14460 FM 2100 77532,3 votes,3.4,Cost:$$$$,,,American,Houston
"This Bar
                                    ", 21411 FM 2100,Cuisines: ,,Cost:$$$$,,,American,Houston
"cuisine of India
                                    "," 516 Westheimer Road, Houston 77006",189 votes,4,Cost for two:$60,-95.3878816,29.7447861,Indian,Houston
"Pondicheri
                                    "," 2800 Kirby Drive, Suite B 132, Houston 77098",164 votes,3.9,Cost for two:$50,-95.4190738,29.7409216,Indian,Houston
"Cuisine of India
                                    "," 1212 NASA Pkwy, Houston 77058",127 votes,4.4,Cost for two:$75,-95.1018073,29.5467655,Indian,Houston
"Sitar Cuisine of India
                                    "," 25701 I-45 N, Suite 12, Houston 77380",110 votes,4.1,Cost for two:$75,-95.4459228,30.1356268,Indian,Houston
"India's Restaurant
                                    "," 5704 Richmond Avenue, Houston 77057",110 votes,4,Cost for two:$30,-95.478887,29.7322849,Indian,Houston
"London Sizzler
                                    ", 6690 Southwest Freeway 77074,84 votes,3.9,Cost for two:$45,-95.5009149,29.7162083,Indian,Houston
"Mogul Indian Restaurant
                                    "," 1055 Bay Area Boulevard, Clear Lake 77058",",",4.1,Cost for two:$30,-95.1188194,29.5564139,Indian,Houston
"Dhakshin Indian Cuisine
                                    "," 19752 Highway 249, Houston 77070",73 votes,4,Cost for two:$75,-95.6253071,30.0692186,Indian,Houston
"Bombay Grill
                                    ", 1852 FM 359 Road 77406,54 votes,4.4,Cost for two:$75,-95.7427884,29.6209338,Indian,Houston
"Goode Company Barbeque
                                    "," 5109 Kirby Drive, Houston 77098",586 votes,4.4,Cost for two:$60,-95.4182964,29.7270153,BBQ,Houston
"T-Bone Tom's
                                    "," 707 Hwy 146, Kemah 77565",186 votes,4.1,Cost for two:$25,-95.0198704,29.5416408,BBQ,Houston
"Hickory Hollow Restaurants & Catering
                                    ", 101 Heights Boulevard 77007,166 votes,4.1,Cost for two:$40,-95.3975954,29.7706171,BBQ,Houston
"Gatlin's Barbecue
                                    ", 3510 Ella Boulevard 77018,134 votes,4.2,Cost for two:$25,-95.4290998,29.8197378,BBQ,Houston
"Central Texas Style BBQ
                                    ", 4110 Broadway Street 77581,156 votes,4.4,Cost for two:$20,-95.2880009,29.5635274,BBQ,Houston
"Corkscrew BBQ
                                    "," 26608 Keith Street, Old Town, Spring 77373",120 votes,4.2,Cost for two:$25,-95.419931,30.080689,BBQ,Houston
"Rudy's Country Store And Bar-B-Q
                                    "," 20806 Interstate 45, Spring 77373",143 votes,4.2,Cost for two:$25,-95.4336018,30.068253,BBQ,Houston
"Texas Roadhouse
                                    "," 13345 FM 1960 Road W, Houston 77065",135 votes,4.4,Cost for two:$45,-95.6176635,29.9152274,BBQ,Houston
"Pit-Master Bar-B-Que
                                    ", 343 Sawdust Road 77380,123 votes,3.9,Cost for two:$25,-95.448524,30.1265736,BBQ,Houston
