Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Carbonero Restaurant El
                                    "," 13627 Veterans Memorial Dr, Houston 77014",0 votes,3,Cost for two:$25,-95.4960162,29.9838817,Mexican,Houston
"Taqueria El Herradero
                                    "," 9521 Telephone Rd, Houston 77075",0 votes,3,Cost for two:$25,-95.2851383,29.6267798,Mexican,Houston
"Colima Mexican Kitchen
                                    "," 3356 Fountain View Drive, Houston 77057",0 votes,3,Cost for two:$25,-95.4844785,29.7287386,Mexican,Houston
"Tacos El Maguey
                                    "," 8530 Bellaire Blvd., Houston 77036",4 votes,2.9,Cost for two:$25,-95.5354611,29.7054206,Mexican,Houston
"Taqueria Del Chino
                                    "," 7844 HARRISBURG, Houston 77012",4 votes,3,Cost for two:$25,-95.2845823,29.73012,Mexican,Houston
"Enchilada Way Mexican Grill
                                    "," 7101 W Grand Parkway S, Suite 120 77407",14 votes,2.4,Cost for two:$75,-95.7522626,29.6732701,Mexican,Houston
"La Bikina
                                    "," 4223 Research Forest Drive Suite 100, The Woodlands 77381",10 votes,2.5,Cost for two:$150,-95.4862605,30.1817478,Mexican,Houston
"El Rio Mexican
                                    "," 504 S Main St, Highlands 77562",2 votes,2.5,Cost for two:$25,-95.0574698,29.8092897,Mexican,Houston
"Los Compadres Mexican Restaurant
                                    "," 8302 N Eldridge Pkwy, Houston 77041",Cuisines: ,,Cost for two:$75,-95.6053063,29.8981411,Mexican,Houston
"El Rey Cuban and Mexican Cuisine Taqueria - Midtown
                                    ", 910 Shepherd Drive 77007,156 votes,4.5,Cost for two:$25,-95.4093155,29.7702971,Mexican,Houston
"Caracol
                                    "," 2200 Post Oak Boulevard, Suite 160, Houston 77056",101 votes,4.2,Cost for two:$125,-95.4621364,29.7433045,Mexican,Houston
"Salsas Seaside Restaurant
                                    ", 4604 Seawall Boulevard 77551,95 votes,3.8,Cost for two:$75,-94.8117695,29.2754634,Mexican,Houston
"Taquilo's Tex-Mex Cantina
                                    "," 2101 Postoffice Street, Galveston 77550",Cuisines: ,,Cost for two:$25,-94.791314,29.305026,Mexican,Houston
"TuCasita
                                    "," 10400 Bissonnet St Ste A, Houston 77099",Cuisines: ,,Cost for two:$25,-95.5616852,29.6750332,Mexican,Houston
"Taquirea Leticia #2
                                    "," 2520 Airline Dr, Houston 77009",Cuisines: ,,Cost for two:$25,-95.3809155,29.8103527,Mexican,Houston
"El Cuscatleco Cafeteria
                                    "," 6041 Bissonnet St, Houston 77081",Cuisines: ,,Cost for two:$25,-95.4878154,29.6970636,Mexican,Houston
"Cocina Latina
                                    "," 10301 Club Creek Dr, Houston 77036",Cuisines: ,,Cost for two:$25,-95.5528807,29.6876066,Mexican,Houston
"El Catrin
                                    "," 7403 Irvington Blvd, Houston 77022",Cuisines: ,,Cost for two:$25,-95.361591,29.8282364,Mexican,Houston
"El Rey Del Pollo Lawndale
                                    "," 7170 Lawndale St, Houston 77023",Cuisines: ,,Cost for two:$75,-95.2913234,29.7167331,Mexican,Houston
"El Papaturro
                                    "," 50 Aldine Bender Rd, Houston 77060",Cuisines: ,,Cost for two:$25,-95.4079859,29.9312733,Mexican,Houston
"La Balita Con Sabor a Mexico
                                    "," 4338 Highway 6 North, Houston 77084",Cuisines: ,,Cost for two:$75,-95.6447694,29.8369847,Mexican,Houston
"La Tia Restaurant
                                    "," 5877 S Gessner Rd, Houston 77036",Cuisines: ,,Cost for two:$75,-95.5376145,29.7165193,Mexican,Houston
"Las Ramadas
                                    ", 22754 Cypresswood Drive 77373,Cuisines: ,,Cost for two:$25,-95.3451603,30.0439005,Mexican,Houston
"Señor Burritos Authentic Mexican Grill
                                    ", 1029 Hwy 6 North 500,Cuisines: ,,Cost for two:$20,-95.6456382,29.7871058,Mexican,Houston
"el Taco pro
                                    "," 130 S 75th, Houston 77011",Cuisines: ,,Cost for two:$25,-95.2927933,29.7315179,Mexican,Houston
"Tacos Arcelia #3
                                    "," 2102 Wirt Rd, Houston 77055",Cuisines: ,,Cost for two:$25,-95.484831,29.8112098,Mexican,Houston
"Tamaleria Guatemix
                                    "," 6394 Windswept Lane, Houston 77057",Cuisines: ,,Cost for two:$25,-95.4974698,29.7264489,Mexican,Houston
"La Salmantina Taqueria
                                    "," 10141 Telephone Rd, Houston 77075",Cuisines: ,,Cost for two:$25,-95.2849294,29.6190845,Mexican,Houston
"El Pancake Cafe
                                    "," 6260 Westpark Drive, Houston 77057",Cuisines: ,,Cost for two:$20,-95.494905,29.724631,Mexican,Houston
"Tacos Arcelia #4
                                    "," 1648 Gessner Dr, Houston 77080",Cuisines: ,,Cost for two:$25,-95.5445229,29.8023558,Mexican,Houston
"Mi Regio Restaurant
                                    "," 7718 West Little York Road, Houston 77040",Cuisines: ,,Cost for two:$25,-95.5072249,29.8661821,Mexican,Houston
"Bob's Taco Station
                                    ", 1901 Avenue H 77471,",",4.2,Cost for two:$25,-95.8075536,29.5584736,Mexican,Houston
"La Fisheria
                                    "," 213 Milam Street, Houston 77007",66 votes,3.9,Cost for two:$50,-95.362068,29.7635162,Mexican,Houston
"El Bolillo Bakery
                                    "," 2517 Airline Drive, Houston 77009",68 votes,4.3,Cost for two:$10,-95.3824631,29.8100105,Mexican,Houston
"El Rey
                                    "," 9742 Katy Fwy #100, Houston 77055",70 votes,3.9,Cost for two:$25,-95.5342926,29.7862612,Mexican,Houston
"Texas Shrimp Shack by Selma
                                    "," 1617 Richmond Avenue, Houston 77006",57 votes,3.7,Cost for two:$30,-95.4000826,29.7340668,Mexican,Houston
"Julio's
                                    "," 19235 Farm to Market 2920, Tomball 77377",50 votes,4.2,Cost for two:$25,-95.7233596,30.0814425,Mexican,Houston
"Peska Seafood Culture
                                    "," 1700 Post Oak Boulevard, Houston 77056",16 votes,3.5,Cost for two:$100,-95.4625156,29.7498983,Mexican,Houston
"Shake Shack
                                    "," 366 Columbus Avenue W 77th Street, New York 10024",721 votes,4.9,Cost for two:$30,-73.9765558,40.7808739,American,New York
"Peter Luger Steak House
                                    "," 178 Broadway, Brooklyn 11211",1111 votes,4.8,Cost for two:$150,-73.9624787,40.7097529,American,New York
"Gramercy Tavern
                                    ", 42 E 20th Street 10003,948 votes,4.5,Cost for two:$200,-73.9884724,40.7384716,American,New York
"5 Napkin Burger
                                    ", 630 9th Avenue 10036,620 votes,4.9,Cost for two:$85,-73.9912338,40.759987,American,New York
"Cafeteria
                                    ", 119 7th Avenue,",",4.5,Cost for two:$75,-73.9979323,40.7404855,American,New York
"S'MAC
                                    "," 197 First Avenue, New York 10003",622 votes,4.9,Cost for two:$25,-73.983724,40.730212,American,New York
"Gray's Papaya
                                    ", 2090 Broadway 10023,",",4.5,Cost for two:$20,-73.9815721,40.7783578,American,New York
"Blue Smoke
                                    "," 116 East 27th Street, Flatiron 10016",",",4.5,Cost for two:$70,-73.9837809,40.7421997,American,New York
"Virgil's Real BBQ
                                    "," 152 West 44th Street, btwn Broadway & 6th Avenue 10036",497 votes,4.4,Cost for two:$50,-73.9851608,40.7567546,American,New York
"The Meatball Shop
                                    ", 84 Stanton Street 10002,393 votes,4.6,Cost for two:$50,-73.9887807,40.7216601,American,New York
"Bubby's
                                    "," 120 Hudson Street, New York 10013",308 votes,4.3,Cost for two:$70,-74.0083109,40.7198196,American,New York
"Union Square Cafe
                                    "," 16th Street, New York 10003",",",4.4,Cost for two:$75,-73.987819,40.7352956,American,New York
"Sarabeth's
                                    "," 423 Amsterdam Avenue, New York 10024",313 votes,4.4,Cost for two:$90,-73.9774244,40.7838797,American,New York
"Beauty & Essex
                                    "," 146 Essex Street, Lower East Side 10002",",",4.3,Cost for two:$100,-73.9868826,40.7204209,American,New York
"Cookshop
                                    ", 156 10th Avenue 10011,344 votes,4.3,Cost for two:$70,-74.0054833,40.745519,American,New York
"Dinosaur Bar-B-Que
                                    ", 700 West 125th Street 10027,613 votes,4.7,Cost for two:$40,-73.9609174,40.8180319,BBQ,New York
"Blue Smoke
                                    "," 116 East 27th Street, Flatiron 10016",",",4.5,Cost for two:$70,-73.9837809,40.7421997,BBQ,New York
"Virgil's Real BBQ
                                    "," 152 West 44th Street, btwn Broadway & 6th Avenue 10036",497 votes,4.4,Cost for two:$50,-73.9851608,40.7567546,BBQ,New York
"Bubby's
                                    "," 120 Hudson Street, New York 10013",308 votes,4.3,Cost for two:$70,-74.0083109,40.7198196,BBQ,New York
"Hill Country Barbecue Market
                                    ", 30 West 26th Street 10010,373 votes,4.4,Cost for two:$70,-73.9904866,40.7441558,BBQ,New York
"Fette Sau
                                    ", 354 Metropolitan Avenue 11211,",",4.6,Cost for two:$75,-73.956335,40.7140632,BBQ,New York
"Mighty Quinn's Barbeque
                                    ", 103 2nd Avenue 10003,",",4.3,Cost for two:$30,-73.9886284,40.7275688,BBQ,New York
"Miss Korea BBQ
                                    ", 10 West 32nd Street 10001,80 votes,4,Cost for two:$60,-73.9864768,40.7473149,BBQ,New York
"Gyu-Kaku Japanese BBQ
                                    "," 805 3rd Avenue, New York 10022",102 votes,4.2,Cost for two:$70,-73.9705623,40.7554247,BBQ,New York
"Dallas BBQ
                                    "," 241 W 42nd Street, New York 10036",81 votes,3.7,Cost for two:$60,-73.9886621,40.7569857,BBQ,New York
"Cho Dang Gol
                                    ", 55 West 35th Street 10001,92 votes,4,Cost for two:$60,-73.9863524,40.7502718,BBQ,New York
"Cowgirl
                                    "," 519 Hudson Street, New York 10014",112 votes,4.2,Cost for two:$70,-74.0064878,40.7338031,BBQ,New York
"Southern Hospitality BBQ
                                    ", 645 9th Avenue 10036,",",3.8,Cost for two:$90,-73.9913982,40.7606246,BBQ,New York
"Bann
                                    "," 350 W 50th Street, New York 10019",",",4,Cost for two:$80,-73.9881369,40.7629007,BBQ,New York
"Don Coqui
                                    "," 2818 31st Street, Astoria 11102",",",3.6,Cost for two:$85,-73.920724,40.7679449,BBQ,New York
"Picnic Restaurant
                                    "," 233 Ferry St, Newark 07105",8 votes,3.3,Cost:$$$$,-74.1543425,40.7280236,BBQ,New York
"McWhorter Barbecue
                                    "," 104 McWhorter Street, Newark 07105",11 votes,4,Cost:$$$$,-74.1667228,40.7294636,BBQ,New York
"Dragonfly Restaurant
                                    "," 661 W. Edgar Road, Linden 07036",42 votes,3.6,Cost:$$$$,-74.2476906,40.6208243,BBQ,New York
"Sultan Gyro
                                    "," 307 Ridge Rd, Lyndhurst 07071",4 votes,3.4,Cost:$$$$,-74.1190535,40.8084318,BBQ,New York
"SuzyQue's BBQ & Bar
                                    "," 34 S Valley Rd, West Orange 07052",69 votes,3.6,Cost:$$$$,-74.2512896,40.7657279,BBQ,New York
"Houston's
                                    "," 1 Riverside Square, Hackensack 07601",148 votes,3.9,Cost:$$$$,-74.0305368,40.9063128,BBQ,New York
"Grill Master
                                    "," 41 Bloomfield Ave, Bloomfield 07003",16 votes,3.7,Cost:$$$$,-74.1874244,40.7767735,BBQ,New York
"Jim Dandy's
                                    "," 563 Franklin Ave, Nutley 07110",13 votes,3.4,Cost:$$$$,-74.1536104,40.825018,BBQ,New York
"Buffalo's
                                    "," 261 Hackensack Street, Wood-Ridge 07075",4 votes,3.4,Cost:$$$$,-74.0811171,40.8487628,BBQ,New York
"Junoon
                                    "," 27 West 24th Street, Flatiron district 10010",156 votes,4.4,Cost for two:$150,-73.9908129,40.7431637,Indian,New York
"Utsav
                                    "," 1185 Avenue of the Americas, New York 10036",103 votes,4.1,Cost for two:$70,-73.9823192,40.7579754,Indian,New York
"Brick Lane Curry House
                                    ", 99 2nd Avenue. 10003,140 votes,4.1,Cost for two:$80,-73.9889486,40.7273558,Indian,New York
"Tamarind Tribeca
                                    "," 99 Hudson Street, New York 10013",75 votes,4,Cost for two:$120,-74.0089976,40.7190557,Indian,New York
"The Kati Roll Company
                                    "," 49 W 39th Street, New York 10018",112 votes,4.1,Cost for two:$30,-73.9846328,40.7527238,Indian,New York
"Indian Accent
                                    "," 123 W 56th Street, Midtown West 10019",42 votes,4.4,Cost for two:$120,-73.9788504,40.764284,Indian,New York
"Haveli Banjara
                                    ", 100 2nd Avenue 10003,100 votes,4.1,Cost for two:$50,-73.9883517,40.7271167,Indian,New York
"Bukhara Grill
                                    "," 217 E 49th Street, New York 10017",85 votes,4,Cost for two:$75,-73.9703031,40.7549692,Indian,New York
"Chennai Garden by Tiffin Wallah
                                    "," 127 E 28th Street, New York 10016",77 votes,4.2,Cost for two:$50,-73.9827576,40.742965,Indian,New York
"Seva
                                    "," 3007 34th Street, Astoria 11103",85 votes,4.4,Cost for two:$50,-73.9189791,40.7654318,Indian,New York
"Jackson Diner
                                    "," 37-47 74th Street, Queens 11372",92 votes,4.2,Cost for two:$60,-73.8913875,40.7477307,Indian,New York
"Saravanaa Bhavan
                                    ", 81 Lexington Avenue 10016,49 votes,4,Cost for two:$30,-73.983071,40.7414198,Indian,New York
"Darbar
                                    "," 152 E 46th Street, New York 10017",68 votes,3.8,Cost for two:$55,-73.973531,40.753513,Indian,New York
"Saravanaa Bhavan
                                    "," 413 Amsterdam Avenue, Between 79th & 80th Street, New York 10024",67 votes,3.7,Cost for two:$50,-73.9777534,40.7835823,Indian,New York
"Ruchi
                                    "," 120 Cedar Street, Financial District 10006",56 votes,3.8,Cost for two:$50,-74.0127065,40.7095408,Indian,New York
"Indian Masala
                                    "," 1174 St Marks Avenue, Brooklyn 11213",Cuisines: ,,Cost for two:$30,-73.9310317,40.6740701,Indian,New York
"Aroma Indian Restaurant
                                    ", 116-01 101st Avenue South Richmond Hill 11419,Cuisines: ,,Cost for two:$25,-73.828378,40.689515,Indian,New York
"Apna Masala Indian Cuisine
                                    "," 344 E 6th Street, New York 10003",Cuisines: ,,Cost for two:$65,-73.9864729,40.7263971,Indian,New York
"Punjabi Dhaba Indian Restaurant
                                    "," 119-16 101st Avenue, Queens 11419",Cuisines: ,,Cost for two:$20,-73.8252625,40.6899685,Indian,New York
"Dhaka Garden
                                    "," 72-23 37th Avenue, Queens 11372",Cuisines: ,,Cost for two:$50,-73.8930569,40.7490784,Indian,New York
"Radhuni Sweets & Restaurant
                                    "," 483 Mcdonald Avenue, Brooklyn, NY 11218",Cuisines: ,,Cost for two:$35,-73.9791232,40.6423829,Indian,New York
"Gulshan Terrace
                                    "," 59-15, 37th Avenue, Woodside",Cuisines: ,,Cost for two:$30,-73.902776,40.7499688,Indian,New York
"Lahori Chilli
                                    "," 1026 Coney Island Avenue, Brooklyn, NY 11230",Cuisines: ,,Cost for two:$20,-73.9671731,40.6324407,Indian,New York
"Desi Grill
                                    "," 46 Wyckoff Avenue, Bushwick, Bushwick, Brooklyn 11237",Cuisines: ,,Cost for two:$40,-73.921747,40.7057507,Indian,New York
"Curry Heights
                                    ", 151 Remsen Street 11201,Cuisines: ,,Cost for two:$60,-73.9922031,40.6936798,Indian,New York
"Haute Cuisine Of India
                                    "," 210 E 58th Street, New York 10022",Cuisines: ,,Cost for two:$70,-73.9664337,40.7604289,Indian,New York
"Saranava Bhavan
                                    ", 81 Lexington Avenue 10016,Cuisines: ,,Cost for two:$25,-73.983071,40.7414198,Indian,New York
"Simon Indian Palace inc
                                    ", 230 East 58th Street 10022,Cuisines: ,,Cost for two:$45,-73.9658941,40.7601883,Indian,New York
"Bismillah Kebab & Curry
                                    "," 1203 Liberty Avenue, Brooklyn 11208",Cuisines: ,,Cost for two:$20,-73.8649792,40.6791668,Indian,New York
"Bombay Junction
                                    ", 1013 6th Avenue 10018,Cuisines: ,,Cost for two:$25,-73.9863396,40.7521993,Indian,New York
"Halal Dumpling House
                                    "," 37-66 74th Street, Queens, NY 11372",Cuisines: ,,Cost for two:$25,-73.8916109,40.7471124,Indian,New York
"Chatkhara Restaurant & Sweets
                                    "," 984 Coney Island Avenue, Brooklyn, NY 11230",Cuisines: ,,Cost for two:$20,-73.9673569,40.6334488,Indian,New York
"Hamro Bhim's Cafe
                                    "," 74-10 37th Road, Queens, NY 11372",Cuisines: ,,Cost for two:$15,-73.8911095,40.7472765,Indian,New York
"Sumnima Kitchen
                                    "," 39-04 64th Street, Woodside, New York City",Cuisines: ,,Cost for two:$30,-73.9000711,40.7463482,Indian,New York
"Nepalese Indian Restaurant
                                    "," 907 Seneca Avenue, Queens, NY 11385",4 votes,2.8,Cost for two:$40,-73.9036372,40.7006697,Indian,New York
"Chabba Family Grill & Cuisine
                                    "," 786 Coney Island Avenue, Brooklyn 11218",Cuisines: ,,Cost for two:$35,-73.9688152,40.6382322,Indian,New York
"Sukhram's Restaurant And Beer Garden
                                    "," 18803 Jamaica Ave, Hollis 11423",2 votes,3.1,Cost for two:$25,-73.7707225,40.711131,Indian,New York
"Golden House Restaurant
                                    "," 105-04 Liberty Avenue, Queens 11417",Cuisines: ,,Cost for two:$25,-73.835876,40.682281,Indian,New York
"Taste of Bhakti
                                    "," 25 1st Avenue, New York 10003",",",2.8,Cost for two:$25,-73.9884895,40.7237768,Indian,New York
"Bamboo Express
                                    "," 772 Flatbush Avenue, Brooklyn 11226",Cuisines: ,,Cost for two:$40,-73.9598843,40.6539174,Indian,New York
"King of Tandoor
                                    "," 7407 3rd Avenue, Brooklyn, NY 11220",Cuisines: ,,Cost for two:$40,-74.0273859,40.6318435,Indian,New York
"Golden Terrace Restaurant
                                    "," 120-23 Atlantic Avenue, New York City 11418",Cuisines: ,,Cost for two:$25,-73.8262835,40.6947861,Indian,New York
"Gyro King
                                    "," 473 McDonald Avenue, Brooklyn 11218",",",,Cost for two:$15,-73.9791628,40.6426041,Indian,New York
"Your Village Roti Shop
                                    "," 21116 Jamaica Ave, Queens Village 11428",1 vote,3.3,Cost for two:$25,-73.7488292,40.7152184,Indian,New York
"Little Crepe Street
                                    "," 29 East Main Street, Mt Kisco 10549",11 votes,3.8,Cost:$$$$,-73.7277681,41.2083613,Indian,New York
"Shivaji Indian Express Cuisine
                                    "," 561 US-1, Edison 08817",Cuisines: ,,Cost:$$$$,-74.3960752,40.5067004,Indian,New York
"Orange Indian Cuisine
                                    "," 168 Kinderkamack Rd, Park Ridge 07656",Cuisines: ,,Cost:$$$$,-74.0326286,41.0356986,Indian,New York
"Mantra
                                    ", 275 Route 4 West 07652,20 votes,3.5,Cost:$$$$,-74.0469952,40.9150281,Indian,New York
"Desi Food Galaxy
                                    "," 2021 Rt-27, Somerset 08873",15 votes,3.5,Cost:$$$$,-74.5116756,40.4580847,Indian,New York
"Dawat
                                    ", 1103 Inman Avenue 08820,Cuisines: ,,Cost:$$$$,-74.3640822,40.59539,Indian,New York
"Manjal Indian Cuisine
                                    "," 37 Godwin Avenue, Ridgewood, NJ",Cuisines: ,,Cost:$$$$,-74.1230555,40.9791132,Indian,New York
"The Little Owl
                                    "," 90 Bedford Street, Greenwich Village 10014",307 votes,4.5,Cost for two:$100,-74.0052759,40.7322874,Mediterranean,New York
"ilili
                                    ", 236 Fifth Avenue 10001,188 votes,4.5,Cost for two:$65,-73.9879195,40.7444147,Mediterranean,New York
"Taim West Village
                                    "," 222 Waverly Place W Village, New York 10014",156 votes,4.4,Cost for two:$30,-74.0019593,40.735997,Mediterranean,New York
"Il Buco
                                    ", 47 Bond Street 10012,",",4.2,Cost for two:$100,-73.9930347,40.7257732,Mediterranean,New York
"Bar Pitti
                                    "," 268 6th Avenue, New York 10014",136 votes,4.3,Cost for two:$110,-74.0021326,40.7290382,Mediterranean,New York
"Pierre Loti
                                    "," 300 E 52nd Street, New York 10022",",",4.5,Cost for two:$50,-73.9674197,40.7559193,Mediterranean,New York
"Extra Virgin
                                    "," 259 W 4th Street, New York 10014",164 votes,4.2,Cost for two:$150,-74.003141,40.7354258,Mediterranean,New York
"Fig & Olive Fifth Ave
                                    ", 10 East 52nd Street 10022,115 votes,3.9,Cost for two:$100,-73.9756381,40.7592885,Mediterranean,New York
"Gennaro
                                    "," 665 Amsterdam Avenue, New York 10025",149 votes,4.4,Cost for two:$100,-73.9717285,40.7917717,Mediterranean,New York
"Boulud Sud
                                    "," 20 West 64th Street, Upper West Side, Lincoln Square, New York City 10023",",",4,Cost for two:$120,-73.9810681,40.7715601,Mediterranean,New York
"Tanoreen
                                    ", 7523 3rd Avenue 11220,108 votes,4.3,Cost for two:$70,-74.0277865,40.6307916,Mediterranean,New York
"Barbounia
                                    ", 250 Park Avenue South 10003,111 votes,4,Cost for two:$80,-73.9882199,40.7382621,Mediterranean,New York
"Balaboosta
                                    "," 611 Hudson Street, West Village, New York City 10012",72 votes,3.9,Cost for two:$100,-74.0058893,40.7376733,Mediterranean,New York
"Gazala's Place
                                    "," 709 9th Avenue, New York 10019",86 votes,4.3,Cost for two:$45,-73.9899822,40.7627104,Mediterranean,New York
"Hummus Place
                                    ", 305 Amsterdam Avenue 10023,93 votes,4.1,Cost for two:$30,-73.9803129,40.7800578,Mediterranean,New York
"Sunrise Diner
                                    "," 45-04 Parsons Boulevard, Queens 11355",Cuisines: ,,Cost for two:$30,-73.8157266,40.7554406,Mediterranean,New York
"Karizma Hookah Lounge
                                    "," 244 E 51st Street, New York 10022",",",,Cost for two:$50,-73.9688382,40.755575,Mediterranean,New York
"Horus Too
                                    "," 416 W 46th Street, New York 10036",Cuisines: ,,Cost for two:$75,-73.9918935,40.7612476,Mediterranean,New York
"Memo Shish Kebab
                                    "," 100 West 23rd Street, New York, NY",Cuisines: ,,Cost for two:$15,-73.9931724,40.7428577,Mediterranean,New York
"Hummus & Pita Co.
                                    "," 616 8th Avenue, New York 10018",Cuisines: ,,Cost for two:$25,-73.9906592,40.7557131,Mediterranean,New York
"Tru Astoria
                                    "," 35-19 Ditmars Boulevard, Queens 11105",Cuisines: ,,Cost for two:$60,-73.908095,40.774609,Mediterranean,New York
"Çka ka Qellu
                                    "," 2321 Hughes Avenue, Bronx, NY 10458",Cuisines: ,,Cost for two:$25,-73.8882215,40.853927,Mediterranean,New York
"New York Falafel
                                    "," 127 Wyckoff Ave, Brooklyn, NY 11237",",",,Cost for two:$25,-73.9187482,40.7042533,Mediterranean,New York
"Zaghloul Grill
                                    "," 61 Anthony J Crecca Junior Plaza, New Dorp 10306",Cuisines: ,,Cost for two:$75,-74.1176875,40.5736815,Mediterranean,New York
"Hayaty
                                    "," 103 Avenue A, New York 10009",",",,Cost for two:$80,-73.9839516,40.7259217,Mediterranean,New York
"Adana Grill
                                    "," 723 3rd Avenue, New York 10017",Cuisines: ,,Cost for two:$35,-73.972657,40.7527781,Mediterranean,New York
"Cafe Noir
                                    "," 35 Lispenard Street, New York 10013",Cuisines: ,,Cost for two:$80,-74.00351,40.7200015,Mediterranean,New York
"Pi Bakerie
                                    ", 512 Broome Street 10013,",",3,Cost for two:$30,-74.0033422,40.723645,Mediterranean,New York
"Kilo No. 857
                                    "," 857 9th Avenue, New York 10019",7 votes,3.4,Cost for two:$60,-73.986653,40.7671347,Mediterranean,New York
"Taverna Kyclades
                                    "," 228 1st Avenue, New York 10009",4 votes,2.7,Cost for two:$80,-73.9825918,40.7310004,Mediterranean,New York
"Mini Star Restaurant
                                    "," 30-02 Steinway Street, Astoria 11103",5 votes,3.7,Cost for two:$25,-73.9152218,40.7638592,Mediterranean,New York
"A & S Greek Deli and Butcher
                                    "," 7918 5th Avenue, Brooklyn 11209",4 votes,3.6,Cost for two:$25,-74.024248,40.6261952,Mediterranean,New York
"Cafe 31 Sports Bar & Grill
                                    "," 220 W 31st Street, New York 10001",",",3.3,Cost for two:$75,-73.993108,40.7494712,Mediterranean,New York
"To Laiko
                                    "," 29-29 23rd Avenue, Queens 11105",0 votes,3.1,Cost for two:$20,-73.91295,40.7746252,Mediterranean,New York
"Sunflower Cafe
                                    "," 1223 Quentin Road, Brooklyn 11229",",",3.8,Cost for two:$50,-73.960242,40.6082417,Mediterranean,New York
"The Gavel Grill
                                    "," 9 Hyatt Street, Street. George 10301",",",3.8,Cost for two:$25,-74.0768044,40.6422101,Mediterranean,New York
"Bedford Cafe & Restaurant
                                    ", 1 Bedford Park Boulevard East 10468,7 votes,3.3,Cost for two:$25,-73.889101,40.8734788,Mediterranean,New York
"Nisi Estiatorio
                                    ", 302 Bleecker St 10014,Cuisines: ,,Cost for two:$60,-74.0039498,40.7324838,Mediterranean,New York
"Comme Ci Comme Ca
                                    "," Location Varies, New York",5 votes,3,Cost for two:$25,-74.0059728,40.7127753,Mediterranean,New York
"Teddy's Place
                                    ", 5 West 25th Street 07002,9 votes,3.5,Cost:$$$$,-74.1171586,40.6659151,Mediterranean,New York
"La Tapenade
                                    "," Newark Liberty International Airport, Newark 07114",Cuisines: ,,Cost:$$$$,-74.1744624,40.6895314,Mediterranean,New York
"Greek Village
                                    "," 211 Livingston St, Northvale 07647",33 votes,4,Cost:$$$$,-73.9488175,41.0076367,Mediterranean,New York
"Greek Taverna
                                    "," 175 Rock Rd, Glen Rock 07452",39 votes,3.5,Cost:$$$$,-74.1334197,40.9628233,Mediterranean,New York
"Varka Fishhouse
                                    "," 30 N Spruce St, Ramsey 07446",47 votes,3.6,Cost:$$$$,-74.140081,41.05873,Mediterranean,New York
"Gregorio's
                                    ", 255A Main Street 07928,17 votes,3.9,Cost:$$$$,-74.3827478,40.7406425,Mediterranean,New York
"Elia Taverna
                                    "," 502 New Rochelle Rd, Bronxville 10708",81 votes,4.9,Cost:$$$$,-73.8089233,40.9286904,Mediterranean,New York
"Summit Diner
                                    "," 1 Union Pl, Summit 07901",31 votes,3.8,Cost:$$$$,-74.3563418,40.7170308,Mediterranean,New York
"Dish Eatery
                                    "," 21-1 Fair Lawn Avenue, Fair Lawn 07410",Cuisines: ,,Cost:$$$$,-74.1211285,40.9393674,Mediterranean,New York
"Cracked Olive Market
                                    ", 37 Main Street 07733,Cuisines: ,,Cost:$$$$,-74.1853284,40.345437,Mediterranean,New York
"Greek City
                                    "," 1300 Route 17N, Ramsey 07446",27 votes,3.6,Cost:$$$$,-74.1387528,41.0724524,Mediterranean,New York
"Pompton Queen Diner
                                    "," Route 23 North, Pequannock Township 07444",34 votes,3.7,Cost:$$$$,-74.2970336,40.9777369,Mediterranean,New York
"Rosa Mexicano
                                    ", 61 Columbus Avenue 10023,442 votes,4.5,Cost for two:$70,-73.9827734,40.771079,Mexican,New York
"La Esquina
                                    "," 114 Kenmare Street, New York 10012",434 votes,4.4,Cost for two:$70,-73.9975945,40.7213987,Mexican,New York
"Toloache 50th
                                    ", 251 West 50th Street 10019,187 votes,4.3,Cost for two:$70,-73.9855741,40.7623091,Mexican,New York
"Dos Caminos
                                    ", 475 West Broadway 10012,",",4.2,Cost for two:$60,-73.999915,40.7266115,Mexican,New York
"El Centro
                                    "," 824 9th Avenue, New York 10019",150 votes,4.3,Cost for two:$60,-73.9868912,40.7660155,Mexican,New York
"Rocking Horse Café
                                    "," 182 8th Avenue, New York 10011",115 votes,4.3,Cost for two:$70,-73.9999607,40.7429063,Mexican,New York
"Empellon Taqueria
                                    ", 230 West 4th Street 10014,",",3.9,Cost for two:$70,-74.0030683,40.734142,Mexican,New York
"Cascabel Taqueria
                                    ", 1556 2Nd Avenue 10028,110 votes,4.3,Cost for two:$60,-73.9540066,40.7743791,Mexican,New York
"Chavelas
                                    ", 736 Franklin Avenue 11238,",",4.6,Cost for two:$25,-73.9571292,40.6734632,Mexican,New York
"Café Frida
                                    ", 368 Columbus Avenue 10024,116 votes,4,Cost for two:$60,-73.976464,40.7809766,Mexican,New York
"Tacombi at Fonda Nolita
                                    "," 267 Elizabeth Street, New York 10012",91 votes,4.2,Cost for two:$50,-73.9938613,40.7239981,Mexican,New York
"Cosme
                                    ", 35 East 21st Street 10010,40 votes,3.9,Cost for two:$100,-73.9883564,40.7395952,Mexican,New York
"Casa Enrique
                                    "," 5-48 49th Avenue, Queens 11101",42 votes,4.2,Cost for two:$70,-73.9542351,40.7433938,Mexican,New York
