Name,Address,Votes,Rating,cost,Longitude,Latitude
"Gianni Pizza
                                    "," 81-13 Northern Boulevard, Queens, NY 11372",10 votes,"
                                        3.8
                                    ",Cost for two:$30,-73.88575569999999,40.7557575
"Tino's Delicatessen
                                    "," 2410 Arthur Avenue, Bronx 10458",13 votes,"
                                        3.7
                                    ",Cost for two:$25,-73.8871023,40.8557948
"Tony's Di Napoli
                                    "," 1081 3rd Avenue, Upper East Side 10065",26 votes,"
                                        3.5
                                    ",Cost for two:$100,-73.9640727,40.7643536
"Cheesy Pizza
                                    "," 2640 Broadway, New York 10025",5 votes,"
                                        3.2
                                    ",Cost for two:$40,-73.96957290000002,40.79718889999999
"Ozone Pizza
                                    "," 96-15 Liberty Avenue, Ozone Park 11417",5 votes,"
                                        3.2
                                    ",Cost for two:$30,-73.8426307,40.6808917
"Armando's Restaurant
                                    "," 1413 Rockaway Parkway, Brooklyn 11236",4 votes,"
                                        3.7
                                    ",Cost for two:$15,-73.9026454,40.6456823
"Lazzara's Pizza
                                    "," 221 W 38th Street, New York 10018",4 votes,"
                                        3.3
                                    ",Cost for two:$75,-73.9895336,40.7540255
"11B Express Restaurant
                                    "," 174 Avenue B, New York 10009",5 votes,"
                                        3.3
                                    ",Cost for two:$35,-73.9797663,40.7274486
"Toby's Public House
                                    "," 86 Kenmare Street, New York 10012",7 votes,"
                                        3.2
                                    ",Cost for two:$45,-73.9968308,40.7211113
"Roebling Pizza
                                    "," 326 Roebling Street, Brooklyn 11211",7 votes,"
                                        3.4
                                    ",Cost for two:$25,-73.9611011,40.70855299999999
"Knapp Pizza II
                                    ", 261 Avenue X 11223,6 votes,"
                                        3.5
                                    ",Cost for two:$20,-73.97322799999999,40.590349
"Ponte Vecchio
                                    "," 8810 4th Avenue, Brooklyn 11209",",","
                                        3.8
                                    ",Cost for two:$110,-74.0293038,40.6211904
"Saggio
                                    "," 829 W 181st Street, New York 10033",11 votes,"
                                        3.8
                                    ",Cost for two:$70,-73.939588,40.8514729
"Radicchio Pasta and Risotto Co.
                                    "," 1664 3rd Avenue, New York 10022",8 votes,"
                                        3.7
                                    ",Cost for two:$35,-73.950884,40.7835397
"Fino Wine & Tapas
                                    "," 39-13 Bell Boulevard, Queens 11361",",","
                                        3.9
                                    ",Cost for two:$110,-73.77138099999999,40.764961
"Terroir
                                    "," 24 Harrison Street, New York 10013",",","
                                        3.4
                                    ",Cost for two:$80,-74.00997500000001,40.7189065
"Parm
                                    "," 235 Columbus Avenue, New York 10023",",","
                                        3.3
                                    ",Cost for two:$55,-73.9792599,40.7764404
"Joe's Pizza
                                    "," 211 8th Avenue, New York 10011",5 votes,"
                                        3.0
                                    ",Cost for two:$20,-73.999752,40.743953
"Vico Ristorante
                                    "," 1302 Madison Avenue, New York 10128",3 votes,"
                                        3.6
                                    ",Cost for two:$160,-73.956073,40.7850107
"Il Sapore Pizza & Restaurant
                                    "," 44-17 Douglaston Parkway, Queens 11363",0 votes,"
                                        3.0
                                    ",Cost for two:$35,-73.744914,40.76609699999999
"Cielo at the Mayfair
                                    "," 242 West 49th St, New York 10019",7 votes,"
                                        3.3
                                    ",Cost for two:$150,-73.9859663,40.7611725
"Joseph's Restaurant
                                    "," 3 Hanover Square, Financial District 10004",10 votes,"
                                        3.5
                                    ",Cost for two:$100,-74.0096537,40.7049944
"Liberatos Pizza
                                    "," 17 Cedar Street, New York 10005",4 votes,"
                                        2.7
                                    ",Cost for two:$25,-74.0079385,40.7069636
"La Bruschetta
                                    ", 256 7th Avenue 11215,",","
                                        2.7
                                    ",Cost for two:$45,-73.9798002,40.6692541
"Brooks 1890
                                    "," 24-28 Jackson Avenue, Queens 11101",",","
                                        3.3
                                    ",Cost for two:$50,-73.9441073,40.7462698
"Va Bene
                                    "," 1589 2nd Avenue, New York 10028",11 votes,"
                                        3.5
                                    ",Cost for two:$150,-73.9536392,40.77567699999999
"Milk & Roses
                                    "," 1110 Manhattan Avenue, Brooklyn 11222",",","
                                        3.4
                                    ",Cost for two:$50,-73.9551115,40.736414
"Village Den Restaurant
                                    "," 225 W 12th Street, New York 10011",11 votes,"
                                        3.5
                                    ",Cost for two:$40,-74.00148209999999,40.7378207
"Cafe Eighty Two
                                    "," 2282 Broadway, New York 10024",7 votes,"
                                        3.5
                                    ",Cost for two:$40,-73.9781495,40.78586749999999
"Bocca
                                    ", 135 West 50th Street 10020,7 votes,"
                                        3.4
                                    ",Cost for two:$40,-73.98219739999999,40.7609404
"Verona Pizza & Italian
                                    "," 2515 Boston Road, Bronx 10467",4 votes,"
                                        2.7
                                    ",Cost for two:$40,-73.8651783,40.86378970000001
"Bin 5
                                    "," 1233 Bay St, Staten Island 10305",9 votes,"
                                        3.4
                                    ",Cost for two:$150,-74.06529549999999,40.6133306
"Ann and Tony's
                                    "," 2407 Arthur Avenue, Bronx 10458",11 votes,"
                                        3.5
                                    ",Cost for two:$75,-73.8875738,40.855849
"Tony's Pizza Bar and Restaurant
                                    "," 308 Cortelyou Road, Brooklyn 11218",",","
                                        -
                                    ",Cost for two:$30,-73.976001,40.6380729
"Nonno's Pizza
                                    "," 8816 3rd Aveune, Brooklyn, NY 11209",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-74.0320105,40.62168399999999
"Brickhouse Pizzeria
                                    "," 357 Bedford Avenue, Brooklyn, NY 11211",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-73.9629568,40.7115749
"St. Alban's Restaurant II
                                    "," 13512 Jamaica Ave, Richmond Hill 11418",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.8172403,40.7022819
"Republic
                                    "," 3329 Astoria Blvd, Astoria 11103",Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-73.9146301,40.7702476
"Italian Affair
                                    "," 225-02 Jamaica Avenue, Queens 11001",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.7299626,40.721929
"Dante's Pizza
                                    "," 10503 Metropolitan Avenue, Forest Hills 11375",Cuisines: ,"
                                        -
                                    ",Cost for two:$45,-73.84822559999999,40.710155
"My Place Family Pizza
                                    "," 240 E 198th Street, Bronx 10458",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.8896161,40.8691518
