Name,Address,Votes,Rating,cost,Longitude,Latitude
"Dark Side Of The Spoon Rock Cafe
                                    "," 30420 FM 2978, The Woodlands 77354",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.58843019999999,30.1944761
"Huddle House
                                    ", 24110 FM 2100 Suite 100,",","
                                        -
                                    ",Cost for two:$20,-95.08907099999999,30.024432
"Seven River Oaks
                                    "," 2207 Richmond Ave, Houston 77098",Cuisines: ,"
                                        -
                                    ",Cost for two:$150,-95.41329999999999,29.7339079
"Potato Corner
                                    "," 5015 Westheimer Road, Houston 77056",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-95.4631205,29.7389671
"Shamrock Inn Pub
                                    "," 9161 South Gessner Road, Houston 77074",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.528306,29.6811387
"Tilted Kilt
                                    "," 2481 South Gulf Freeway, Houston",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.0974811,29.4741909
"Texas Borders Bar & Grill 1093
                                    ", 26440 FM 1093 Road 400,Cuisines: ,"
                                        -
                                    ",Cost for two:$35,-95.8324488,29.6967853
"Hot Dogs Express Food Cart
                                    "," 8320 FM 1960 Road West, Houston 77070",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-95.54840329999999,29.9600095
"Fuego's Saloon
                                    "," 817 Durham Dr, Houston",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-95.410952,29.7694186
"Frenchy's Chicken
                                    "," 202 Sawdust Road, Spring 77380",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.4467006,30.1275441
"Kathy's Country Kitchen
                                    "," 23115 Hwy 36, Damon 77430",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.7325793,29.2973859
"Juanito's Mexican Restaurant
                                    "," 2536 S Grand Boulevard, Pearland 77581",25 votes,"
                                        3.7
                                    ",Cost for two:$25,-95.2842582,29.5604424
"House of Fries
                                    "," 5322 Antoine Drive, Houston 77091",18 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.4729071,29.8431752
