Name,Address,Votes,Rating,cost,Longitude,Latitude
"Indika
                                    "," 516 Westheimer Road, Houston 77006",189 votes,4.0,Cost for two:$60,-95.3878816,29.7447861
"Pondicheri
                                    "," 2800 Kirby Drive, Suite B 132, Houston 77098",164 votes,3.9,Cost for two:$50,-95.4190738,29.7409216
"Cuisine of India
                                    "," 1212 NASA Pkwy, Houston 77058",127 votes,4.4,Cost for two:$75,-95.10180729999999,29.5467655
"Sitar Cuisine of India
                                    "," 25701 I-45 N, Suite 12, Houston 77380",110 votes,4.1,Cost for two:$75,-95.44592279999999,30.1356268
"India's Restaurant
                                    "," 5704 Richmond Avenue, Houston 77057",110 votes,4.0,Cost for two:$30,-95.478887,29.7322849
"London Sizzler
                                    ", 6690 Southwest Freeway 77074,84 votes,3.9,Cost for two:$45,-95.5009149,29.71620829999999
"Mogul Indian Restaurant
                                    "," 1055 Bay Area Boulevard, Clear Lake 77058",",",4.1,Cost for two:$30,-95.11881939999999,29.5564139
"Dhakshin Indian Cuisine
                                    "," 19752 Highway 249, Houston 77070",73 votes,4.0,Cost for two:$75,-95.6253071,30.0692186
"Bombay Grill
                                    ", 1852 FM 359 Road 77406,54 votes,4.4,Cost for two:$75,-95.7427884,29.6209338
